	380 nm	403 nm	438 nm	453 nm	472 nm	526 nm	593 nm	640 nm
15	0.006	0.006	0.006	0.005	0.005	0.006	0.005	0.006
16	0.005	0.005	0.006	0.005	0.005	0.005	0.005	0.005
17	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005
18	0.005	0.005	0.005	0.004	0.005	0.005	0.005	0.005
19	0.004	0.005	0.005	0.004	0.004	0.004	0.004	0.005
20	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004
21	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004
22	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004
23	0.004	0.004	0.004	0.003	0.003	0.004	0.004	0.004
24	0.004	0.004	0.004	0.003	0.003	0.003	0.003	0.004
25	0.003	0.004	0.003	0.003	0.003	0.003	0.003	0.004
26	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003
27	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003
28	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003
29	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003
30	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003
31	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003
32	0.003	0.003	0.003	0.002	0.002	0.002	0.003	0.003
33	0.003	0.003	0.003	0.002	0.002	0.002	0.003	0.003
34	0.003	0.003	0.003	0.002	0.002	0.002	0.003	0.003
35	0.002	0.003	0.002	0.002	0.002	0.002	0.002	0.003
36	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
37	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
38	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
39	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
40	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
41	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
42	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
43	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
44	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
45	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
46	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
47	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
48	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
49	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
50	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
Basis	rhodamine101	2016-10-31	nW	NaN	NaN	NaN	NaN	NaN
