	380 nm	403 nm	438 nm	453 nm	472 nm	526 nm	593 nm	640 nm
15	1.90893	0.99817	1.56542	2.53594	3.03041	2.96765	27.08351	2.31607
16	1.90515	0.99817	1.57717	2.55294	3.06454	3.05791	26.6597	2.28875
17	1.90187	0.99817	1.58777	2.56836	3.09548	3.14298	26.29397	2.26501
18	1.89888	0.99817	1.59739	2.5823	3.12379	3.22324	25.96725	2.24415
19	1.89623	0.99817	1.60612	2.59491	3.14963	3.2991	25.68675	2.22568
20	1.89383	0.99817	1.61416	2.60653	3.17353	3.37096	25.43824	2.20925
21	1.89166	0.99817	1.62149	2.6171	3.19545	3.43906	25.21009	2.19441
22	1.88967	0.99817	1.62829	2.62691	3.21587	3.50376	25.01112	2.18113
23	1.88786	0.99817	1.63454	2.6359	3.2347	3.56523	24.83117	2.16906
24	1.88619	0.99817	1.64037	2.6443	3.25235	3.62377	24.66296	2.1581
25	1.88466	0.99817	1.64575	2.65203	3.2687	3.67954	24.51427	2.14805
26	1.88321	0.99817	1.65079	2.65928	3.28408	3.73275	24.37813	2.13883
27	1.88189	0.99817	1.65549	2.66602	3.29844	3.78359	24.24882	2.13035
28	1.88067	0.99817	1.6599	2.67236	3.31198	3.83218	24.13365	2.1225
29	1.87952	0.99817	1.66403	2.67828	3.32467	3.87871	24.02325	2.11524
30	1.87846	0.99817	1.66792	2.68387	3.33668	3.92326	23.92455	2.10842
31	1.87745	0.99817	1.67158	2.6891	3.34798	3.96599	23.83289	2.10213
32	1.87652	0.99817	1.67504	2.69406	3.35871	4.00698	23.74369	2.09624
33	1.87562	0.99817	1.67831	2.69871	3.3688	4.04635	23.66376	2.09072
34	1.87481	0.99817	1.6814	2.70317	3.37847	4.08421	23.58901	2.08556
35	1.874	0.99817	1.68434	2.70733	3.38756	4.12062	23.51549	2.0807
36	1.87328	0.99817	1.68711	2.71134	3.3963	4.15568	23.4496	2.07613
37	1.87256	0.99817	1.68976	2.71509	3.40453	4.18934	23.38737	2.07181
38	1.87188	0.99817	1.69227	2.7187	3.41244	4.22189	23.32571	2.06772
39	1.87126	0.99817	1.69468	2.72212	3.41995	4.2533	23.27037	2.06383
40	1.87065	0.99817	1.69696	2.7254	3.42717	4.2836	23.21785	2.06017
41	1.87009	0.99817	1.69915	2.72851	3.43403	4.31289	23.16549	2.0567
42	1.86953	0.99817	1.70123	2.7315	3.44064	4.34118	23.11827	2.05339
43	1.86902	0.99817	1.70324	2.73434	3.44693	4.36855	23.07094	2.05025
44	1.86851	0.99817	1.70515	2.73709	3.45301	4.39501	23.02825	2.04726
45	1.86804	0.99817	1.70699	2.73968	3.45879	4.42063	22.98756	2.0444
46	1.86758	0.99817	1.70875	2.74222	3.46441	4.44546	22.94649	2.04168
47	1.86715	0.99817	1.71044	2.74461	3.46974	4.4695	22.90945	2.03906
48	1.86673	0.99817	1.71206	2.74695	3.47494	4.49283	22.87413	2.03654
49	1.86632	0.99817	1.71363	2.74916	3.47994	4.51544	22.83805	2.03415
50	1.86594	0.99817	1.71513	2.75131	3.4847	4.53738	22.80561	2.03186
Basis	rhodamine101	2016-10-31	nW	NaN	NaN	NaN	NaN	NaN
