	380 nm	403 nm	438 nm	453 nm	472 nm	526 nm	593 nm	640 nm
15	0.009	0.004	0.007	0.013	0.013	0.007	0.012	0.014
16	0.008	0.004	0.006	0.013	0.013	0.007	0.011	0.013
17	0.008	0.004	0.006	0.012	0.012	0.006	0.01	0.013
18	0.007	0.004	0.006	0.011	0.011	0.006	0.01	0.012
19	0.007	0.003	0.005	0.011	0.011	0.006	0.009	0.011
20	0.007	0.003	0.005	0.01	0.01	0.005	0.009	0.011
21	0.006	0.003	0.005	0.01	0.009	0.005	0.008	0.01
22	0.006	0.003	0.005	0.009	0.009	0.005	0.008	0.01
23	0.006	0.003	0.004	0.009	0.009	0.005	0.008	0.009
24	0.005	0.003	0.004	0.009	0.008	0.005	0.007	0.009
25	0.005	0.003	0.004	0.008	0.008	0.004	0.007	0.009
26	0.005	0.003	0.004	0.008	0.008	0.004	0.007	0.008
27	0.005	0.003	0.004	0.008	0.007	0.004	0.007	0.008
28	0.005	0.002	0.004	0.007	0.007	0.004	0.006	0.008
29	0.004	0.002	0.003	0.007	0.007	0.004	0.006	0.008
30	0.004	0.002	0.003	0.007	0.007	0.004	0.006	0.007
31	0.004	0.002	0.003	0.007	0.006	0.003	0.006	0.007
32	0.004	0.002	0.003	0.007	0.006	0.003	0.006	0.007
33	0.004	0.002	0.003	0.006	0.006	0.003	0.005	0.007
34	0.004	0.002	0.003	0.006	0.006	0.003	0.005	0.006
35	0.004	0.002	0.003	0.006	0.006	0.003	0.005	0.006
36	0.004	0.002	0.003	0.006	0.005	0.003	0.005	0.006
37	0.003	0.002	0.003	0.006	0.005	0.003	0.005	0.006
38	0.003	0.002	0.003	0.006	0.005	0.003	0.005	0.006
39	0.003	0.002	0.003	0.005	0.005	0.003	0.005	0.006
40	0.003	0.002	0.003	0.005	0.005	0.003	0.004	0.006
41	0.003	0.002	0.002	0.005	0.005	0.003	0.004	0.005
42	0.003	0.002	0.002	0.005	0.005	0.003	0.004	0.005
43	0.003	0.002	0.002	0.005	0.005	0.002	0.004	0.005
44	0.003	0.002	0.002	0.005	0.004	0.002	0.004	0.005
45	0.003	0.002	0.002	0.005	0.004	0.002	0.004	0.005
46	0.003	0.002	0.002	0.005	0.004	0.002	0.004	0.005
47	0.003	0.002	0.002	0.005	0.004	0.002	0.004	0.005
48	0.003	0.001	0.002	0.004	0.004	0.002	0.004	0.005
49	0.003	0.001	0.002	0.004	0.004	0.002	0.004	0.005
50	0.003	0.001	0.002	0.004	0.004	0.002	0.004	0.004
Basis	Rhodamine101	2017-05-05	nW	NaN	NaN	NaN	NaN	NaN
