	380 nm	403 nm	438 nm	453 nm	472 nm	526 nm	593 nm	640 nm
15	3.30257	2.1735	1.668	0.99566	2.34223	2.65111	22.6334	2.45961
16	3.26758	2.16369	1.66907	0.99566	2.36833	2.7042	22.41296	2.43115
17	3.23677	2.15493	1.67004	0.99566	2.3924	2.75388	22.21801	2.40606
18	3.20928	2.14706	1.67092	0.99566	2.41457	2.80042	22.04437	2.38386
19	3.18476	2.13995	1.67172	0.99566	2.43511	2.84421	21.88873	2.36394
20	3.16267	2.13349	1.67245	0.99566	2.45418	2.88543	21.74842	2.34603
21	3.14261	2.1276	1.67312	0.99566	2.47194	2.92431	21.62447	2.3299
22	3.12443	2.12221	1.67374	0.99566	2.48851	2.96104	21.50858	2.31518
23	3.10783	2.11725	1.67431	0.99566	2.50402	2.9958	21.40264	2.30176
24	3.09254	2.11268	1.67484	0.99566	2.51857	3.02868	21.30542	2.28951
25	3.07853	2.10845	1.67533	0.99566	2.53223	3.05993	21.21589	2.2782
26	3.0656	2.10452	1.67579	0.99566	2.54509	3.08963	21.13317	2.26776
27	3.05356	2.10087	1.67622	0.99566	2.55722	3.11788	21.05651	2.25815
28	3.04244	2.09749	1.67662	0.99566	2.56867	3.1448	20.98526	2.24919
29	3.03203	2.0943	1.677	0.99566	2.5795	3.17047	20.91889	2.24084
30	3.02236	2.09132	1.67735	0.99566	2.58977	3.19492	20.85689	2.2331
31	3.01331	2.08852	1.67769	0.99566	2.59951	3.21834	20.79886	2.22581
32	3.00478	2.08588	1.678	0.99566	2.60877	3.24075	20.74442	2.21903
33	2.99681	2.0834	1.6783	0.99566	2.61757	3.26221	20.69325	2.21262
34	2.98931	2.08106	1.67858	0.99566	2.62595	3.28277	20.64695	2.20658
35	2.98219	2.07884	1.67885	0.99566	2.63395	3.30246	20.60144	2.20093
36	2.97551	2.07674	1.6791	0.99566	2.64158	3.3214	20.55843	2.19556
37	2.96915	2.07475	1.67934	0.99566	2.64888	3.33961	20.51774	2.19048
38	2.96316	2.07286	1.67957	0.99566	2.65585	3.35711	20.47916	2.18571
39	2.95748	2.07106	1.67979	0.99566	2.66253	3.37396	20.44256	2.18114
40	2.95204	2.06935	1.68	0.99566	2.66894	3.39018	20.40776	2.17681
41	2.94691	2.06771	1.6802	0.99566	2.67508	3.40578	20.37466	2.17272
42	2.94202	2.06616	1.68039	0.99566	2.68097	3.42086	20.34312	2.16879
43	2.93732	2.06467	1.68057	0.99566	2.68664	3.43541	20.31303	2.16505
44	2.93287	2.06325	1.68074	0.99566	2.69209	3.44947	20.28431	2.1615
45	2.92861	2.0619	1.68091	0.99566	2.69735	3.46305	20.25685	2.15809
46	2.92451	2.0606	1.68107	0.99566	2.7024	3.47617	20.23058	2.15483
47	2.92062	2.05934	1.68123	0.99566	2.70727	3.48883	20.20676	2.15173
48	2.91686	2.05814	1.68138	0.99566	2.71196	3.50112	20.18261	2.14873
49	2.91326	2.05698	1.68152	0.99566	2.71648	3.51301	20.15938	2.14585
50	2.90982	2.05587	1.68166	0.99566	2.72085	3.52454	20.13714	2.14312
Basis	Rhodamine101	2017-05-05	nW	NaN	NaN	NaN	NaN	NaN
