	380 nm	403 nm	438 nm	453 nm	472 nm	526 nm	593 nm	640 nm
15	3.33762	2.19612	1.68179	0.99566	-1008.44553	2.68143	23.00517	2.44854
16	3.30181	2.18594	1.68279	0.99566	-1300.12493	2.73478	22.78257	2.41997
17	3.27019	2.17688	1.68369	0.99566	-1758.47828	2.78477	22.58975	2.39486
18	3.24209	2.16872	1.68453	0.99566	-2583.53424	2.83161	22.41807	2.37251
19	3.21691	2.16133	1.68529	0.99566	-4508.63159	2.87561	22.26026	2.35258
20	3.19417	2.15462	1.68598	0.99566	-14134.11833	2.91704	22.12141	2.33459
21	3.17367	2.14855	1.68661	0.99566	14742.44159	2.95614	21.99569	2.31841
22	3.15501	2.14294	1.68721	0.99566	5116.88838	2.99305	21.87793	2.30363
23	3.13796	2.13779	1.68774	0.99566	3191.77774	3.02804	21.77323	2.2902
24	3.12235	2.13308	1.68824	0.99566	2366.74457	3.06116	21.67441	2.27785
25	3.10797	2.12868	1.68872	0.99566	1908.38172	3.09257	21.58596	2.26654
26	3.09469	2.1246	1.68914	0.99566	1616.69628	3.12242	21.50422	2.2561
27	3.0824	2.12082	1.68955	0.99566	1414.76787	3.15083	21.42607	2.2464
28	3.07097	2.1173	1.68994	0.99566	1266.68039	3.17793	21.35571	2.23743
29	3.06033	2.11399	1.69029	0.99566	1153.43703	3.20373	21.29014	2.22904
30	3.05041	2.11089	1.69063	0.99566	1064.03962	3.22838	21.22676	2.22126
31	3.04112	2.10798	1.69095	0.99566	986.9657	3.25192	21.16947	2.21394
32	3.0324	2.10526	1.69124	0.99566	927.84415	3.27444	21.11572	2.20712
33	3.02419	2.10268	1.69152	0.99566	878.14833	3.29607	21.06327	2.20068
34	3.01648	2.10024	1.69178	0.99566	835.78401	3.31674	21.01573	2.19465
35	3.00921	2.09794	1.69204	0.99566	799.24296	3.33657	20.97087	2.18893
36	3.00236	2.09578	1.69228	0.99566	767.40493	3.35563	20.92674	2.18358
37	2.99586	2.09371	1.69251	0.99566	739.41139	3.37392	20.88666	2.17847
38	2.98971	2.09174	1.69273	0.99566	714.60799	3.39156	20.84867	2.17366
39	2.98388	2.08988	1.69294	0.99566	692.4815	3.40851	20.811	2.16908
40	2.97833	2.08811	1.69313	0.99566	672.61605	3.42482	20.77676	2.16475
41	2.97305	2.08641	1.69332	0.99566	654.68396	3.44053	20.74418	2.1606
42	2.96804	2.0848	1.69351	0.99566	638.41843	3.4557	20.71165	2.15669
43	2.96324	2.08325	1.69367	0.99566	623.5933	3.47033	20.68206	2.15295
44	2.95866	2.08178	1.69384	0.99566	610.0272	3.48449	20.65233	2.14936
45	2.9543	2.08037	1.694	0.99566	597.56832	3.49815	20.62543	2.14596
46	2.95009	2.07901	1.69415	0.99566	586.08274	3.51134	20.59962	2.14267
47	2.94608	2.07772	1.6943	0.99566	575.46237	3.52411	20.57351	2.13955
48	2.94225	2.07648	1.69444	0.99566	564.59013	3.53647	20.5499	2.13654
49	2.93857	2.07528	1.69457	0.99566	555.48249	3.54847	20.52718	2.13368
50	2.93503	2.07412	1.6947	0.99566	546.99024	3.56005	20.50407	2.1309
Basis	Rhodamine101	2017-05-05	nW	NaN	NaN	NaN	NaN	NaN
