,380 nm,403 nm,438 nm,453 nm,472 nm,526 nm,593 nm,640 nm
15,0.14407,0.09246,0.07462,0.07161,0.07878,0.1141,1.0,0.11327
16,0.14363,0.09283,0.07539,0.0723,0.08038,0.11754,1.0,0.11301
17,0.14324,0.09316,0.07609,0.07293,0.08184,0.12076,1.0,0.11277
18,0.14287,0.09344,0.07671,0.07349,0.08318,0.12375,1.0,0.11255
19,0.14257,0.0937,0.07729,0.074,0.08443,0.12658,1.0,0.11236
20,0.1423,0.09395,0.07782,0.07448,0.08559,0.12925,1.0,0.1122
21,0.14206,0.09417,0.07831,0.07491,0.08666,0.13177,1.0,0.11205
22,0.14181,0.09435,0.07874,0.0753,0.08765,0.13412,1.0,0.1119
23,0.14161,0.09454,0.07915,0.07566,0.08859,0.13637,1.0,0.11177
24,0.14143,0.09471,0.07954,0.076,0.08947,0.1385,1.0,0.11166
25,0.14126,0.09487,0.07989,0.07632,0.0903,0.14052,1.0,0.11156
26,0.14108,0.095,0.08021,0.07661,0.09106,0.14241,1.0,0.11145
27,0.14094,0.09514,0.08052,0.07688,0.09179,0.14424,1.0,0.11136
28,0.14081,0.09527,0.08081,0.07714,0.09248,0.14598,1.0,0.11128
29,0.14066,0.09537,0.08107,0.07737,0.09312,0.14762,1.0,0.11119
30,0.14055,0.09549,0.08133,0.0776,0.09373,0.1492,1.0,0.11112
31,0.14044,0.09559,0.08157,0.07781,0.09432,0.15071,1.0,0.11106
32,0.14034,0.09569,0.0818,0.07802,0.09488,0.15216,1.0,0.111
33,0.14023,0.09577,0.082,0.0782,0.09539,0.15352,1.0,0.11093
34,0.14015,0.09586,0.08221,0.07838,0.0959,0.15485,1.0,0.11087
35,0.14006,0.09594,0.0824,0.07855,0.09637,0.15613,1.0,0.11082
36,0.13998,0.09602,0.08258,0.07871,0.09683,0.15735,1.0,0.11078
37,0.1399,0.09609,0.08275,0.07886,0.09726,0.1585,1.0,0.11072
38,0.13983,0.09616,0.08291,0.07901,0.09768,0.15963,1.0,0.11068
39,0.13976,0.09623,0.08307,0.07915,0.09807,0.16072,1.0,0.11064
40,0.1397,0.09629,0.08322,0.07928,0.09846,0.16177,1.0,0.1106
41,0.13963,0.09634,0.08336,0.0794,0.09882,0.16276,1.0,0.11055
42,0.13957,0.0964,0.0835,0.07952,0.09917,0.16373,1.0,0.11052
43,0.13952,0.09646,0.08363,0.07964,0.09951,0.16467,1.0,0.11049
44,0.13947,0.09651,0.08376,0.07975,0.09983,0.16558,1.0,0.11046
45,0.13941,0.09655,0.08387,0.07985,0.10014,0.16644,1.0,0.11042
46,0.13936,0.0966,0.08399,0.07995,0.10044,0.16728,1.0,0.11039
47,0.13931,0.09665,0.0841,0.08005,0.10073,0.1681,1.0,0.11036
48,0.13927,0.09669,0.0842,0.08015,0.10101,0.1689,1.0,0.11034
49,0.13922,0.09673,0.0843,0.08023,0.10127,0.16965,1.0,0.1103
50,0.13918,0.09677,0.0844,0.08032,0.10153,0.17039,1.0,0.11028
Basis,Rhodamine101,2017-05-05,nW,NaN,NaN,NaN,NaN,NaN
