,380 nm,403 nm,438 nm,453 nm,472 nm,526 nm,593 nm,640 nm
15,0.1434,0.09165,0.07528,0.0723,-32.87958,0.11577,1.0,0.11102
16,0.14314,0.09207,0.07597,0.07293,-42.62797,0.11914,1.0,0.11088
17,0.14291,0.09244,0.07659,0.07351,-58.54695,0.1223,1.0,0.11076
18,0.1427,0.09277,0.07716,0.07403,-86.21248,0.12526,1.0,0.11065
19,0.14252,0.09307,0.07767,0.0745,-149.68047,0.12804,1.0,0.11056
20,0.14236,0.09334,0.07814,0.07493,-445.86443,0.13067,1.0,0.11047
21,0.00025,0.00017,0.00014,0.00013,1.0,0.00024,0.00178,0.0002
22,0.00077,0.00051,0.00043,0.00041,1.0,0.00074,0.00545,0.0006
23,0.00125,0.00083,0.0007,0.00067,1.0,0.00121,0.0088,0.00097
24,0.00169,0.00112,0.00095,0.00091,1.0,0.00166,0.01188,0.00131
25,0.00209,0.00139,0.00118,0.00113,1.0,0.00209,0.01472,0.00162
26,0.00246,0.00164,0.00139,0.00133,1.0,0.00249,0.01734,0.00191
27,0.0028,0.00187,0.00159,0.00153,1.0,0.00288,0.01978,0.00218
28,0.00312,0.00209,0.00178,0.00171,1.0,0.00324,0.02204,0.00242
29,0.00341,0.00229,0.00196,0.00187,1.0,0.00359,0.02415,0.00266
30,0.00369,0.00248,0.00212,0.00203,1.0,0.00393,0.02612,0.00287
31,0.00395,0.00266,0.00228,0.00218,1.0,0.00425,0.02796,0.00307
32,0.00421,0.00284,0.00244,0.00233,1.0,0.00457,0.02981,0.00328
33,0.00444,0.003,0.00257,0.00246,1.0,0.00486,0.03144,0.00345
34,0.00465,0.00315,0.00271,0.00259,1.0,0.00514,0.03297,0.00362
35,0.00485,0.00329,0.00283,0.00271,1.0,0.00541,0.03441,0.00378
36,0.00504,0.00343,0.00295,0.00282,1.0,0.00567,0.03577,0.00393
37,0.00522,0.00355,0.00306,0.00293,1.0,0.00591,0.03707,0.00407
38,0.0054,0.00367,0.00317,0.00303,1.0,0.00615,0.03829,0.0042
39,0.00556,0.00379,0.00327,0.00313,1.0,0.00638,0.03945,0.00433
40,0.00571,0.0039,0.00337,0.00322,1.0,0.0066,0.04056,0.00445
41,0.00586,0.004,0.00346,0.00331,1.0,0.00681,0.04161,0.00456
42,0.006,0.0041,0.00355,0.00339,1.0,0.00702,0.04261,0.00467
43,0.00613,0.00419,0.00363,0.00347,1.0,0.00722,0.04357,0.00478
44,0.00626,0.00428,0.00371,0.00355,1.0,0.00741,0.04448,0.00487
45,0.00638,0.00437,0.00379,0.00362,1.0,0.00759,0.04535,0.00497
46,0.0065,0.00445,0.00387,0.0037,1.0,0.00777,0.04619,0.00506
47,0.00662,0.00454,0.00394,0.00377,1.0,0.00795,0.04707,0.00516
48,0.00672,0.00462,0.00401,0.00384,1.0,0.00812,0.04784,0.00524
49,0.00683,0.00469,0.00408,0.0039,1.0,0.00828,0.04857,0.00532
50,0.00692,0.00476,0.00414,0.00396,1.0,0.00844,0.04928,0.0054
Basis,Rhodamine101,2017-05-05,nW,NaN,NaN,NaN,NaN,NaN
