	380 nm	403 nm	438 nm	453 nm	472 nm	526 nm	593 nm	640 nm
15	2.00318	1.28558	1.03751	0.99566	1.09539	1.58652	13.90467	1.575
16	1.97785	1.27829	1.0382	0.99566	1.10683	1.61855	13.77048	1.5562
17	1.95553	1.2718	1.03882	0.99566	1.11731	1.64856	13.65188	1.53958
18	1.93582	1.26598	1.03939	0.99566	1.12699	1.67669	13.54915	1.52491
19	1.91825	1.26074	1.0399	0.99566	1.13592	1.70312	13.4544	1.51175
20	1.90239	1.25597	1.04037	0.99566	1.14419	1.72796	13.36884	1.49997
21	1.88816	1.25164	1.0408	0.99566	1.15189	1.75137	13.29152	1.48929
22	1.87525	1.24769	1.0412	0.99566	1.15906	1.77351	13.22344	1.47965
23	1.86344	1.24407	1.04157	0.99566	1.16578	1.79446	13.15905	1.47081
24	1.85269	1.24073	1.04191	0.99566	1.17205	1.8143	13.09997	1.46277
25	1.84278	1.23763	1.04221	0.99566	1.17794	1.8331	13.04543	1.45532
26	1.83364	1.23477	1.04251	0.99566	1.18347	1.85095	12.99709	1.4485
27	1.82523	1.23211	1.04278	0.99566	1.1887	1.86796	12.95047	1.4422
28	1.81742	1.22964	1.04304	0.99566	1.19362	1.88416	12.90716	1.43631
29	1.81013	1.22733	1.04328	0.99566	1.19828	1.8996	12.8685	1.43088
30	1.80335	1.22515	1.0435	0.99566	1.20267	1.91433	12.83064	1.42576
31	1.79703	1.22312	1.04371	0.99566	1.20684	1.92838	12.79533	1.42102
32	1.79108	1.22122	1.04391	0.99566	1.21082	1.94185	12.76221	1.41655
33	1.78553	1.21942	1.0441	0.99566	1.21458	1.95475	12.73255	1.41238
34	1.78031	1.21773	1.04429	0.99566	1.21817	1.96712	12.7032	1.40843
35	1.77535	1.21612	1.04445	0.99566	1.22158	1.97896	12.67541	1.40473
36	1.77071	1.2146	1.04462	0.99566	1.22485	1.99031	12.64927	1.40124
37	1.76632	1.21317	1.04477	0.99566	1.22795	2.00125	12.62582	1.39792
38	1.76214	1.21182	1.04492	0.99566	1.23094	2.01176	12.60234	1.3948
39	1.75821	1.21052	1.04506	0.99566	1.23378	2.02188	12.58005	1.39182
40	1.75446	1.20928	1.04519	0.99566	1.2365	2.03161	12.55878	1.389
41	1.75088	1.20811	1.04531	0.99566	1.23912	2.04097	12.5398	1.38631
42	1.7475	1.20699	1.04544	0.99566	1.24163	2.05003	12.52058	1.38376
43	1.74428	1.20592	1.04555	0.99566	1.24404	2.05876	12.50225	1.38132
44	1.74119	1.2049	1.04566	0.99566	1.24636	2.0672	12.48475	1.37901
45	1.73824	1.20391	1.04576	0.99566	1.24858	2.07533	12.469	1.37679
46	1.73544	1.20298	1.04587	0.99566	1.25073	2.08318	12.45298	1.37466
47	1.73273	1.20208	1.04597	0.99566	1.25279	2.0908	12.43763	1.37264
48	1.73016	1.20122	1.04606	0.99566	1.25479	2.09818	12.42292	1.37069
49	1.7277	1.20039	1.04615	0.99566	1.2567	2.10532	12.40978	1.36883
50	1.7253	1.19959	1.04623	0.99566	1.25856	2.11222	12.39614	1.36703
Basis	Rhodamine101	2017-05-05	nW	NaN	NaN	NaN	NaN	NaN
