	380 nm	403 nm	438 nm	453 nm	472 nm	526 nm	593 nm	640 nm
15	1.21642	1.43444	1.5166	1.80249	0.99709	2.49285	13.20739	1.85505
16	1.20807	1.40465	1.50879	1.78304	0.99709	2.52051	12.94336	1.81664
17	1.20054	1.37834	1.50172	1.76551	0.99709	2.5465	12.70749	1.78285
18	1.19364	1.35497	1.49523	1.74963	0.99709	2.5709	12.4999	1.75278
19	1.18735	1.33407	1.4893	1.73527	0.99709	2.59392	12.31409	1.72581
20	1.18158	1.31524	1.48386	1.7221	0.99709	2.61559	12.14426	1.70159
21	1.17626	1.29819	1.47882	1.71009	0.99709	2.63612	11.99273	1.67961
22	1.17135	1.2827	1.47413	1.69898	0.99709	2.6555	11.8527	1.65967
23	1.16679	1.26857	1.4698	1.68879	0.99709	2.67392	11.72678	1.64149
24	1.16255	1.25559	1.46577	1.67932	0.99709	2.6914	11.60949	1.62475
25	1.15861	1.24365	1.46198	1.67051	0.99709	2.70798	11.50306	1.60939
26	1.15492	1.23265	1.45849	1.66236	0.99709	2.72379	11.40488	1.59522
27	1.15147	1.22243	1.45516	1.6547	0.99709	2.73882	11.31224	1.58204
28	1.14823	1.21297	1.45206	1.64759	0.99709	2.7532	11.22778	1.56986
29	1.14517	1.20414	1.44912	1.64087	0.99709	2.76689	11.14756	1.5585
30	1.14232	1.1959	1.44637	1.63462	0.99709	2.78001	11.07414	1.54786
31	1.13961	1.18821	1.44376	1.6287	0.99709	2.79257	11.00412	1.53796
32	1.13705	1.18099	1.44129	1.6231	0.99709	2.80456	10.93959	1.52866
33	1.13463	1.17421	1.43898	1.61786	0.99709	2.81609	10.87905	1.51989
34	1.13233	1.16781	1.43675	1.61286	0.99709	2.82713	10.82078	1.51167
35	1.13016	1.1618	1.43464	1.60816	0.99709	2.83775	10.76705	1.50393
36	1.12808	1.15611	1.43263	1.60367	0.99709	2.84793	10.7151	1.49656
37	1.12611	1.15073	1.43073	1.59941	0.99709	2.85775	10.66709	1.48965
38	1.12424	1.14564	1.42891	1.59539	0.99709	2.86721	10.62058	1.4831
39	1.12244	1.1408	1.42716	1.59152	0.99709	2.87629	10.57734	1.47683
40	1.12074	1.1362	1.42552	1.58787	0.99709	2.88506	10.53634	1.47093
41	1.1191	1.13183	1.42392	1.58435	0.99709	2.89351	10.4963	1.46529
42	1.11753	1.12767	1.42241	1.58102	0.99709	2.90168	10.45916	1.45991
43	1.11604	1.12369	1.42094	1.5778	0.99709	2.90955	10.42277	1.4548
44	1.1146	1.11991	1.41954	1.57473	0.99709	2.91717	10.38897	1.4499
45	1.11323	1.1163	1.4182	1.57181	0.99709	2.92454	10.35583	1.44525
46	1.1119	1.11283	1.41692	1.56898	0.99709	2.93166	10.32486	1.44079
47	1.11063	1.10951	1.41568	1.56629	0.99709	2.93856	10.29528	1.4365
48	1.10941	1.10633	1.41448	1.56368	0.99709	2.94529	10.26607	1.4324
49	1.10823	1.10329	1.41334	1.5612	0.99709	2.95177	10.23888	1.42849
50	1.1071	1.10036	1.41222	1.55878	0.99709	2.95803	10.21196	1.42469
Basis	Rhodamine101	2017-05-05	nW	NaN	NaN	NaN	NaN	NaN
