	380 nm	403 nm	438 nm	453 nm	472 nm	526 nm	593 nm	640 nm
15	1.85865	1.08543	0.99818	1.46634	1.17127	1.38353	11.40238	1.5382
16	1.84548	1.08741	0.99818	1.47337	1.18606	1.4137	11.30848	1.52291
17	1.8337	1.0892	0.99818	1.47981	1.19964	1.44188	11.23035	1.50931
18	1.82328	1.09086	0.99818	1.48564	1.21224	1.46831	11.15681	1.49744
19	1.81388	1.09232	0.99818	1.49092	1.22379	1.49305	11.09064	1.48668
20	1.8054	1.09366	0.99818	1.49582	1.2345	1.51624	11.03503	1.47713
21	1.79773	1.09489	0.99818	1.50026	1.24446	1.53814	10.98094	1.46852
22	1.79084	1.09602	0.99818	1.50443	1.25378	1.55881	10.93177	1.46059
23	1.78444	1.09706	0.99818	1.50822	1.26245	1.57834	10.88689	1.45347
24	1.77863	1.09805	0.99818	1.51184	1.2706	1.59686	10.84927	1.44689
25	1.77323	1.09894	0.99818	1.51511	1.27821	1.61431	10.81127	1.4409
26	1.76824	1.09977	0.99818	1.51823	1.2854	1.63093	10.77619	1.43529
27	1.76369	1.10055	0.99818	1.52108	1.29214	1.64674	10.74656	1.43019
28	1.75939	1.10127	0.99818	1.52376	1.2985	1.66177	10.71629	1.42546
29	1.75539	1.10195	0.99818	1.52633	1.3045	1.6761	10.68812	1.42098
30	1.75168	1.10262	0.99818	1.52872	1.31026	1.6898	10.66206	1.41692
31	1.74818	1.10322	0.99818	1.531	1.31564	1.70278	10.63991	1.41301
32	1.74489	1.10378	0.99818	1.5331	1.32076	1.71526	10.61676	1.40942
33	1.74187	1.10434	0.99818	1.53514	1.32562	1.72719	10.59502	1.40598
34	1.73896	1.10484	0.99818	1.53702	1.33024	1.73862	10.57678	1.40282
35	1.73625	1.10534	0.99818	1.53884	1.33471	1.74961	10.55762	1.39987
36	1.73365	1.1058	0.99818	1.54058	1.33891	1.76006	10.53933	1.39699
37	1.7312	1.10623	0.99818	1.54219	1.34293	1.77016	10.52203	1.39433
38	1.72893	1.10664	0.99818	1.54377	1.34676	1.77986	10.50762	1.39175
39	1.72672	1.10702	0.99818	1.54523	1.35047	1.78919	10.49202	1.38936
40	1.72462	1.1074	0.99818	1.54666	1.35398	1.79817	10.4772	1.38704
41	1.72265	1.10777	0.99818	1.54802	1.35737	1.80685	10.46511	1.38491
42	1.72074	1.10811	0.99818	1.5493	1.36061	1.81514	10.45163	1.38286
43	1.71897	1.10843	0.99818	1.55055	1.36374	1.82318	10.43879	1.38086
44	1.71724	1.10874	0.99818	1.55172	1.36672	1.83094	10.42653	1.37899
45	1.71558	1.10904	0.99818	1.55288	1.36959	1.83843	10.41647	1.37717
46	1.71399	1.10932	0.99818	1.55395	1.37235	1.84568	10.40522	1.37547
47	1.7125	1.10961	0.99818	1.55504	1.37503	1.85266	10.39461	1.37381
48	1.71104	1.10987	0.99818	1.55604	1.37763	1.85943	10.38584	1.37225
49	1.70968	1.11012	0.99818	1.55702	1.3801	1.86599	10.37591	1.37076
50	1.70834	1.11037	0.99818	1.55794	1.38248	1.87234	10.36638	1.36928
Basis	rhodamine101	2018-01-16	nW	NaN	NaN	NaN	NaN	NaN
