	380 nm	403 nm	438 nm	453 nm	472 nm	544 nm	593 nm	640 nm
9	0.00041	0.00021	0.00024	0.00047	0.00046	0.0011	0.00623	0.00096
10	0.00036	0.00019	0.00022	0.00042	0.00043	0.00101	0.00549	0.00088
11	0.00032	0.00017	0.0002	0.00039	0.0004	0.00094	0.00491	0.00081
12	0.00029	0.00016	0.00019	0.00036	0.00037	0.00088	0.00444	0.00075
13	0.00027	0.00015	0.00017	0.00033	0.00035	0.00083	0.00405	0.0007
14	0.00025	0.00014	0.00016	0.00031	0.00033	0.00078	0.00372	0.00065
15	0.00023	0.00013	0.00015	0.00029	0.00031	0.00074	0.00345	0.00061
16	0.00021	0.00012	0.00014	0.00027	0.00029	0.0007	0.00321	0.00057
17	0.0002	0.00011	0.00014	0.00026	0.00028	0.00067	0.00301	0.00054
18	0.00019	0.00011	0.00013	0.00025	0.00027	0.00064	0.00283	0.00051
19	0.00018	0.0001	0.00012	0.00023	0.00026	0.00061	0.00267	0.00049
20	0.00017	0.0001	0.00012	0.00022	0.00024	0.00059	0.00252	0.00047
21	0.00016	9e-05	0.00011	0.00021	0.00023	0.00057	0.0024	0.00044
22	0.00016	9e-05	0.00011	0.0002	0.00023	0.00054	0.00228	0.00043
23	0.00015	8e-05	0.0001	0.0002	0.00022	0.00053	0.00218	0.00041
24	0.00014	8e-05	0.0001	0.00019	0.00021	0.00051	0.00208	0.00039
25	0.00014	8e-05	0.0001	0.00018	0.0002	0.00049	0.00199	0.00038
26	0.00013	8e-05	9e-05	0.00018	0.0002	0.00048	0.00191	0.00036
27	0.00013	7e-05	9e-05	0.00017	0.00019	0.00046	0.00184	0.00035
28	0.00012	7e-05	9e-05	0.00016	0.00018	0.00045	0.00177	0.00034
29	0.00012	7e-05	8e-05	0.00016	0.00018	0.00044	0.00171	0.00033
30	0.00012	7e-05	8e-05	0.00015	0.00017	0.00042	0.00165	0.00031
31	0.00011	6e-05	8e-05	0.00015	0.00017	0.00041	0.0016	0.0003
32	0.00011	6e-05	8e-05	0.00015	0.00016	0.0004	0.00155	0.00029
33	0.00011	6e-05	7e-05	0.00014	0.00016	0.00039	0.0015	0.00029
34	0.0001	6e-05	7e-05	0.00014	0.00016	0.00038	0.00146	0.00028
35	0.0001	6e-05	7e-05	0.00013	0.00015	0.00037	0.00141	0.00027
36	0.0001	6e-05	7e-05	0.00013	0.00015	0.00037	0.00137	0.00026
37	0.0001	5e-05	7e-05	0.00013	0.00015	0.00036	0.00134	0.00026
38	0.0001	5e-05	7e-05	0.00013	0.00014	0.00035	0.0013	0.00025
39	9e-05	5e-05	6e-05	0.00012	0.00014	0.00034	0.00127	0.00024
40	9e-05	5e-05	6e-05	0.00012	0.00014	0.00034	0.00124	0.00024
41	9e-05	5e-05	6e-05	0.00012	0.00013	0.00033	0.00121	0.00023
42	9e-05	5e-05	6e-05	0.00012	0.00013	0.00033	0.00118	0.00022
43	9e-05	5e-05	6e-05	0.00011	0.00013	0.00032	0.00115	0.00022
44	9e-05	5e-05	6e-05	0.00011	0.00013	0.00031	0.00113	0.00021
45	8e-05	4e-05	6e-05	0.00011	0.00012	0.00031	0.0011	0.00021
46	8e-05	4e-05	6e-05	0.00011	0.00012	0.0003	0.00108	0.0002
47	8e-05	4e-05	6e-05	0.0001	0.00012	0.0003	0.00106	0.0002
48	8e-05	4e-05	5e-05	0.0001	0.00012	0.00029	0.00103	0.0002
49	8e-05	4e-05	5e-05	0.0001	0.00011	0.00029	0.00101	0.00019
50	8e-05	4e-05	5e-05	0.0001	0.00011	0.00028	0.00099	0.00019
51	8e-05	4e-05	5e-05	0.0001	0.00011	0.00028	0.00097	0.00018
