	380 nm	403 nm	438 nm	453 nm	472 nm	544 nm	593 nm	640 nm
15	0.00022	0.00013	0.00015	0.00028	0.00031	0.00072	0.00341	0.00062
16	0.00021	0.00012	0.00014	0.00027	0.00029	0.00069	0.00319	0.00058
17	0.0002	0.00011	0.00013	0.00026	0.00028	0.00066	0.00299	0.00054
18	0.00019	0.00011	0.00013	0.00024	0.00027	0.00064	0.00282	0.00052
19	0.00018	0.0001	0.00012	0.00023	0.00026	0.00061	0.00267	0.00049
20	0.00017	0.0001	0.00012	0.00022	0.00025	0.00059	0.00253	0.00046
21	0.00017	9e-05	0.00011	0.00021	0.00024	0.00057	0.00241	0.00044
22	0.00016	9e-05	0.00011	0.00021	0.00023	0.00055	0.00229	0.00042
23	0.00015	8e-05	0.0001	0.0002	0.00022	0.00053	0.00219	0.00041
24	0.00015	8e-05	0.0001	0.00019	0.00021	0.00052	0.0021	0.00039
25	0.00014	8e-05	0.0001	0.00019	0.00021	0.0005	0.00201	0.00037
26	0.00014	8e-05	9e-05	0.00018	0.0002	0.00049	0.00193	0.00036
27	0.00013	7e-05	9e-05	0.00017	0.00019	0.00047	0.00186	0.00035
28	0.00013	7e-05	9e-05	0.00017	0.00019	0.00046	0.00179	0.00033
29	0.00013	7e-05	9e-05	0.00016	0.00018	0.00045	0.00173	0.00032
30	0.00012	7e-05	8e-05	0.00016	0.00018	0.00043	0.00167	0.00031
31	0.00012	6e-05	8e-05	0.00015	0.00017	0.00042	0.00161	0.0003
32	0.00012	6e-05	8e-05	0.00015	0.00017	0.00041	0.00156	0.00029
33	0.00011	6e-05	8e-05	0.00014	0.00016	0.0004	0.00151	0.00028
34	0.00011	6e-05	7e-05	0.00014	0.00016	0.00039	0.00147	0.00028
35	0.00011	6e-05	7e-05	0.00014	0.00015	0.00038	0.00142	0.00027
36	0.0001	6e-05	7e-05	0.00013	0.00015	0.00037	0.00138	0.00026
37	0.0001	5e-05	7e-05	0.00013	0.00015	0.00037	0.00135	0.00025
38	0.0001	5e-05	7e-05	0.00013	0.00014	0.00036	0.00131	0.00025
39	0.0001	5e-05	7e-05	0.00012	0.00014	0.00035	0.00128	0.00024
40	0.0001	5e-05	6e-05	0.00012	0.00014	0.00034	0.00124	0.00023
41	9e-05	5e-05	6e-05	0.00012	0.00013	0.00034	0.00121	0.00023
42	9e-05	5e-05	6e-05	0.00012	0.00013	0.00033	0.00118	0.00022
43	9e-05	5e-05	6e-05	0.00011	0.00013	0.00032	0.00116	0.00022
44	9e-05	5e-05	6e-05	0.00011	0.00013	0.00032	0.00113	0.00021
45	9e-05	4e-05	6e-05	0.00011	0.00012	0.00031	0.0011	0.00021
46	8e-05	4e-05	6e-05	0.00011	0.00012	0.0003	0.00108	0.0002
47	8e-05	4e-05	6e-05	0.00011	0.00012	0.0003	0.00106	0.0002
48	8e-05	4e-05	5e-05	0.0001	0.00012	0.00029	0.00103	0.0002
49	8e-05	4e-05	5e-05	0.0001	0.00011	0.00029	0.00101	0.00019
50	8e-05	4e-05	5e-05	0.0001	0.00011	0.00028	0.00099	0.00019
Basis	Rhodamine101	2016-09-08	NaN	NaN	NaN	NaN	NaN	NaN
