	380 nm	403 nm	438 nm	453 nm	472 nm	544 nm	593 nm	640 nm
9	0.00463	0.00249	0.00251	0.00513	0.005	0.01306	0.07272	0.00656
10	0.00401	0.00223	0.00229	0.00468	0.00462	0.01175	0.0622	0.00565
11	0.00354	0.00203	0.00211	0.00431	0.00429	0.0107	0.0544	0.00497
12	0.00317	0.00186	0.00195	0.004	0.00401	0.00983	0.04837	0.00444
13	0.00288	0.00172	0.00182	0.00373	0.00376	0.0091	0.04357	0.00401
14	0.00264	0.0016	0.0017	0.00349	0.00354	0.00848	0.03967	0.00366
15	0.00244	0.00149	0.0016	0.00328	0.00335	0.00795	0.03643	0.00337
16	0.00227	0.0014	0.00151	0.0031	0.00318	0.00748	0.0337	0.00313
17	0.00212	0.00132	0.00143	0.00294	0.00303	0.00708	0.03136	0.00292
18	0.002	0.00125	0.00136	0.00279	0.00289	0.00672	0.02935	0.00273
19	0.00189	0.00118	0.00129	0.00266	0.00276	0.0064	0.02759	0.00257
20	0.00179	0.00113	0.00124	0.00254	0.00265	0.00612	0.02603	0.00243
21	0.00171	0.00107	0.00118	0.00243	0.00254	0.00586	0.02466	0.0023
22	0.00163	0.00103	0.00114	0.00234	0.00244	0.00563	0.02343	0.00219
23	0.00156	0.00098	0.00109	0.00225	0.00235	0.00542	0.02233	0.00209
24	0.0015	0.00094	0.00105	0.00216	0.00227	0.00523	0.02133	0.002
25	0.00144	0.00091	0.00101	0.00208	0.0022	0.00505	0.02043	0.00192
26	0.00139	0.00088	0.00098	0.00201	0.00212	0.00489	0.0196	0.00184
27	0.00134	0.00084	0.00095	0.00195	0.00206	0.00474	0.01885	0.00177
28	0.0013	0.00082	0.00091	0.00189	0.002	0.0046	0.01815	0.00171
29	0.00126	0.00079	0.00089	0.00183	0.00194	0.00448	0.01751	0.00165
30	0.00122	0.00077	0.00086	0.00177	0.00188	0.00436	0.01692	0.00159
31	0.00119	0.00074	0.00084	0.00172	0.00183	0.00425	0.01637	0.00154
32	0.00116	0.00072	0.00081	0.00168	0.00178	0.00415	0.01586	0.00149
33	0.00113	0.0007	0.00079	0.00163	0.00174	0.00405	0.01539	0.00145
34	0.0011	0.00068	0.00077	0.00159	0.00169	0.00396	0.01495	0.00141
35	0.00107	0.00066	0.00075	0.00155	0.00165	0.00388	0.01453	0.00137
36	0.00105	0.00065	0.00073	0.00151	0.00162	0.0038	0.01414	0.00133
37	0.00103	0.00063	0.00071	0.00148	0.00158	0.00373	0.01378	0.0013
38	0.00101	0.00062	0.0007	0.00144	0.00154	0.00366	0.01343	0.00127
39	0.00099	0.0006	0.00068	0.00141	0.00151	0.00359	0.01311	0.00124
40	0.00097	0.00059	0.00067	0.00138	0.00148	0.00353	0.0128	0.00121
41	0.00095	0.00058	0.00065	0.00135	0.00145	0.00348	0.01251	0.00118
42	0.00094	0.00056	0.00064	0.00132	0.00142	0.00342	0.01223	0.00116
43	0.00092	0.00055	0.00063	0.0013	0.00139	0.00337	0.01197	0.00113
44	0.00091	0.00054	0.00061	0.00127	0.00137	0.00332	0.01173	0.00111
45	0.00089	0.00053	0.0006	0.00125	0.00134	0.00328	0.01149	0.00109
46	0.00088	0.00052	0.00059	0.00122	0.00132	0.00323	0.01127	0.00107
47	0.00087	0.00051	0.00058	0.0012	0.00129	0.00319	0.01105	0.00105
48	0.00086	0.0005	0.00057	0.00118	0.00127	0.00316	0.01085	0.00103
49	0.00085	0.00049	0.00056	0.00116	0.00125	0.00312	0.01066	0.00101
50	0.00084	0.00048	0.00055	0.00114	0.00123	0.00308	0.01047	0.00099
51	0.00083	0.00047	0.00054	0.00112	0.00121	0.00305	0.01029	0.00098
52	0.00082	0.00047	0.00053	0.0011	0.00119	0.00302	0.01012	0.00096
53	0.00081	0.00046	0.00052	0.00109	0.00117	0.00299	0.00996	0.00095
54	0.0008	0.00045	0.00052	0.00107	0.00116	0.00297	0.0098	0.00093
55	0.0008	0.00045	0.00051	0.00105	0.00114	0.00294	0.00965	0.00092
56	0.00079	0.00044	0.0005	0.00104	0.00112	0.00292	0.00951	0.0009
57	0.00078	0.00043	0.00049	0.00102	0.00111	0.00289	0.00937	0.00089
58	0.00078	0.00043	0.00049	0.00101	0.00109	0.00287	0.00924	0.00088
59	0.00077	0.00042	0.00048	0.001	0.00108	0.00285	0.00911	0.00087
60	0.00076	0.00041	0.00047	0.00098	0.00106	0.00283	0.00899	0.00086
61	0.00076	0.00041	0.00047	0.00097	0.00105	0.00282	0.00887	0.00084
62	0.00075	0.0004	0.00046	0.00096	0.00103	0.0028	0.00876	0.00083
63	0.00075	0.0004	0.00045	0.00094	0.00102	0.00278	0.00865	0.00082
64	0.00075	0.00039	0.00045	0.00093	0.00101	0.00277	0.00854	0.00081
65	0.00074	0.00039	0.00044	0.00092	0.001	0.00276	0.00844	0.0008
66	0.00074	0.00038	0.00044	0.00091	0.00099	0.00275	0.00834	0.00079
67	0.00074	0.00038	0.00043	0.0009	0.00097	0.00273	0.00825	0.00079
68	0.00073	0.00037	0.00043	0.00089	0.00096	0.00273	0.00815	0.00078
69	0.00073	0.00037	0.00042	0.00088	0.00095	0.00272	0.00806	0.00077
70	0.00073	0.00036	0.00042	0.00087	0.00094	0.00271	0.00798	0.00076
71	0.00073	0.00036	0.00041	0.00086	0.00093	0.0027	0.0079	0.00075
72	0.00072	0.00036	0.00041	0.00085	0.00092	0.0027	0.00782	0.00075
73	0.00072	0.00035	0.0004	0.00084	0.00091	0.00269	0.00774	0.00074
74	0.00072	0.00035	0.0004	0.00083	0.0009	0.00269	0.00766	0.00073
75	0.00072	0.00035	0.0004	0.00082	0.00089	0.00268	0.00759	0.00073
76	0.00072	0.00034	0.00039	0.00082	0.00088	0.00268	0.00752	0.00072
77	0.00072	0.00034	0.00039	0.00081	0.00088	0.00268	0.00745	0.00071
78	0.00072	0.00034	0.00038	0.0008	0.00087	0.00268	0.00739	0.00071
79	0.00072	0.00033	0.00038	0.00079	0.00086	0.00268	0.00732	0.0007
80	0.00072	0.00033	0.00038	0.00078	0.00085	0.00268	0.00726	0.00069
81	0.00072	0.00033	0.00037	0.00078	0.00084	0.00268	0.0072	0.00069
82	0.00072	0.00032	0.00037	0.00077	0.00084	0.00269	0.00714	0.00068
83	0.00072	0.00032	0.00037	0.00076	0.00083	0.00269	0.00708	0.00068
84	0.00072	0.00032	0.00036	0.00076	0.00082	0.00269	0.00703	0.00067
85	0.00072	0.00031	0.00036	0.00075	0.00081	0.0027	0.00698	0.00067
86	0.00073	0.00031	0.00036	0.00074	0.00081	0.00271	0.00692	0.00066
87	0.00073	0.00031	0.00035	0.00074	0.0008	0.00271	0.00687	0.00066
88	0.00073	0.00031	0.00035	0.00073	0.00079	0.00272	0.00682	0.00065
89	0.00073	0.0003	0.00035	0.00073	0.00079	0.00273	0.00678	0.00065
90	0.00074	0.0003	0.00035	0.00072	0.00078	0.00274	0.00673	0.00065
91	0.00074	0.0003	0.00034	0.00071	0.00078	0.00275	0.00669	0.00064
92	0.00074	0.0003	0.00034	0.00071	0.00077	0.00277	0.00664	0.00064
93	0.00075	0.00029	0.00034	0.0007	0.00076	0.00278	0.0066	0.00063
94	0.00075	0.00029	0.00033	0.0007	0.00076	0.0028	0.00656	0.00063
95	0.00075	0.00029	0.00033	0.00069	0.00075	0.00281	0.00652	0.00063
96	0.00076	0.00029	0.00033	0.00069	0.00075	0.00283	0.00648	0.00062
97	0.00076	0.00029	0.00033	0.00068	0.00074	0.00285	0.00645	0.00062
