	380 nm	403 nm	438 nm	453 nm	472 nm	544 nm	593 nm	640 nm
9	0.00109	0.00053	0.00058	0.00103	0.00116	0.00297	0.01581	0.00155
10	0.00095	0.00048	0.00053	0.00094	0.00107	0.00267	0.01352	0.00134
11	0.00084	0.00043	0.00049	0.00086	0.001	0.00243	0.01183	0.00118
12	0.00075	0.0004	0.00045	0.0008	0.00093	0.00223	0.01051	0.00105
13	0.00068	0.00037	0.00042	0.00075	0.00087	0.00207	0.00947	0.00095
14	0.00062	0.00034	0.0004	0.0007	0.00082	0.00193	0.00862	0.00087
15	0.00058	0.00032	0.00037	0.00066	0.00078	0.00181	0.00792	0.0008
16	0.00054	0.0003	0.00035	0.00062	0.00074	0.0017	0.00733	0.00074
17	0.0005	0.00028	0.00033	0.00059	0.0007	0.00161	0.00682	0.00069
18	0.00047	0.00027	0.00032	0.00056	0.00067	0.00153	0.00638	0.00065
19	0.00045	0.00025	0.0003	0.00053	0.00064	0.00145	0.006	0.00061
20	0.00042	0.00024	0.00029	0.00051	0.00062	0.00139	0.00566	0.00057
21	0.0004	0.00023	0.00028	0.00049	0.00059	0.00133	0.00536	0.00054
22	0.00038	0.00022	0.00026	0.00047	0.00057	0.00128	0.00509	0.00052
23	0.00037	0.00021	0.00025	0.00045	0.00055	0.00123	0.00485	0.00049
24	0.00035	0.0002	0.00024	0.00043	0.00053	0.00119	0.00464	0.00047
25	0.00034	0.00019	0.00024	0.00042	0.00051	0.00115	0.00444	0.00045
26	0.00033	0.00019	0.00023	0.0004	0.00049	0.00111	0.00426	0.00044
27	0.00032	0.00018	0.00022	0.00039	0.00048	0.00108	0.0041	0.00042
28	0.00031	0.00017	0.00021	0.00038	0.00046	0.00105	0.00395	0.0004
29	0.0003	0.00017	0.00021	0.00037	0.00045	0.00102	0.00381	0.00039
30	0.00029	0.00016	0.0002	0.00035	0.00044	0.00099	0.00368	0.00038
31	0.00028	0.00016	0.00019	0.00034	0.00043	0.00097	0.00356	0.00036
32	0.00027	0.00015	0.00019	0.00034	0.00041	0.00094	0.00345	0.00035
33	0.00027	0.00015	0.00018	0.00033	0.0004	0.00092	0.00335	0.00034
34	0.00026	0.00015	0.00018	0.00032	0.00039	0.0009	0.00325	0.00033
35	0.00025	0.00014	0.00017	0.00031	0.00038	0.00088	0.00316	0.00032
36	0.00025	0.00014	0.00017	0.0003	0.00038	0.00086	0.00307	0.00032
37	0.00024	0.00013	0.00017	0.0003	0.00037	0.00085	0.00299	0.00031
38	0.00024	0.00013	0.00016	0.00029	0.00036	0.00083	0.00292	0.0003
39	0.00023	0.00013	0.00016	0.00028	0.00035	0.00082	0.00285	0.00029
40	0.00023	0.00013	0.00016	0.00028	0.00034	0.0008	0.00278	0.00029
41	0.00023	0.00012	0.00015	0.00027	0.00034	0.00079	0.00272	0.00028
42	0.00022	0.00012	0.00015	0.00026	0.00033	0.00078	0.00266	0.00027
43	0.00022	0.00012	0.00015	0.00026	0.00032	0.00077	0.0026	0.00027
44	0.00021	0.00011	0.00014	0.00025	0.00032	0.00076	0.00255	0.00026
45	0.00021	0.00011	0.00014	0.00025	0.00031	0.00074	0.0025	0.00026
46	0.00021	0.00011	0.00014	0.00024	0.00031	0.00073	0.00245	0.00025
47	0.00021	0.00011	0.00014	0.00024	0.0003	0.00073	0.0024	0.00025
48	0.0002	0.00011	0.00013	0.00024	0.0003	0.00072	0.00236	0.00024
49	0.0002	0.0001	0.00013	0.00023	0.00029	0.00071	0.00232	0.00024
50	0.0002	0.0001	0.00013	0.00023	0.00029	0.0007	0.00228	0.00023
51	0.0002	0.0001	0.00013	0.00022	0.00028	0.00069	0.00224	0.00023
52	0.00019	0.0001	0.00012	0.00022	0.00028	0.00069	0.0022	0.00023
53	0.00019	0.0001	0.00012	0.00022	0.00027	0.00068	0.00217	0.00022
54	0.00019	0.0001	0.00012	0.00021	0.00027	0.00067	0.00213	0.00022
55	0.00019	9e-05	0.00012	0.00021	0.00026	0.00067	0.0021	0.00022
56	0.00019	9e-05	0.00012	0.00021	0.00026	0.00066	0.00207	0.00021
57	0.00018	9e-05	0.00011	0.0002	0.00026	0.00066	0.00204	0.00021
58	0.00018	9e-05	0.00011	0.0002	0.00025	0.00065	0.00201	0.00021
59	0.00018	9e-05	0.00011	0.0002	0.00025	0.00065	0.00198	0.0002
60	0.00018	9e-05	0.00011	0.0002	0.00025	0.00064	0.00195	0.0002
61	0.00018	9e-05	0.00011	0.00019	0.00024	0.00064	0.00193	0.0002
62	0.00018	9e-05	0.00011	0.00019	0.00024	0.00064	0.0019	0.0002
63	0.00018	8e-05	0.00011	0.00019	0.00024	0.00063	0.00188	0.00019
64	0.00018	8e-05	0.0001	0.00019	0.00023	0.00063	0.00186	0.00019
65	0.00018	8e-05	0.0001	0.00018	0.00023	0.00063	0.00183	0.00019
66	0.00017	8e-05	0.0001	0.00018	0.00023	0.00062	0.00181	0.00019
67	0.00017	8e-05	0.0001	0.00018	0.00023	0.00062	0.00179	0.00019
68	0.00017	8e-05	0.0001	0.00018	0.00022	0.00062	0.00177	0.00018
69	0.00017	8e-05	0.0001	0.00018	0.00022	0.00062	0.00175	0.00018
70	0.00017	8e-05	0.0001	0.00017	0.00022	0.00062	0.00173	0.00018
71	0.00017	8e-05	0.0001	0.00017	0.00022	0.00061	0.00172	0.00018
72	0.00017	8e-05	0.0001	0.00017	0.00021	0.00061	0.0017	0.00018
73	0.00017	8e-05	9e-05	0.00017	0.00021	0.00061	0.00168	0.00017
74	0.00017	7e-05	9e-05	0.00017	0.00021	0.00061	0.00167	0.00017
75	0.00017	7e-05	9e-05	0.00016	0.00021	0.00061	0.00165	0.00017
76	0.00017	7e-05	9e-05	0.00016	0.00021	0.00061	0.00163	0.00017
77	0.00017	7e-05	9e-05	0.00016	0.0002	0.00061	0.00162	0.00017
78	0.00017	7e-05	9e-05	0.00016	0.0002	0.00061	0.00161	0.00017
79	0.00017	7e-05	9e-05	0.00016	0.0002	0.00061	0.00159	0.00017
