	380 nm	403 nm	438 nm	453 nm	472 nm	544 nm	593 nm	640 nm
15	0.0023	0.00148	0.00157	0.00322	0.0033	0.00776	0.03621	0.00332
16	0.00219	0.0014	0.00149	0.00306	0.00314	0.00743	0.03383	0.00311
17	0.00209	0.00132	0.00142	0.00291	0.00301	0.00713	0.03175	0.00293
18	0.002	0.00126	0.00136	0.00278	0.00288	0.00686	0.0299	0.00276
19	0.00191	0.0012	0.0013	0.00266	0.00276	0.0066	0.02826	0.00262
20	0.00183	0.00114	0.00124	0.00255	0.00265	0.00637	0.02679	0.00249
21	0.00176	0.00109	0.00119	0.00245	0.00256	0.00614	0.02546	0.00237
22	0.0017	0.00105	0.00115	0.00235	0.00246	0.00594	0.02426	0.00226
23	0.00163	0.001	0.0011	0.00227	0.00238	0.00575	0.02317	0.00216
24	0.00158	0.00096	0.00106	0.00219	0.0023	0.00557	0.02217	0.00207
25	0.00152	0.00093	0.00103	0.00211	0.00222	0.0054	0.02125	0.00199
26	0.00147	0.0009	0.00099	0.00204	0.00215	0.00524	0.02041	0.00191
27	0.00143	0.00086	0.00096	0.00198	0.00209	0.00509	0.01963	0.00184
28	0.00138	0.00084	0.00093	0.00191	0.00202	0.00494	0.01891	0.00177
29	0.00134	0.00081	0.0009	0.00186	0.00197	0.00481	0.01824	0.00171
30	0.0013	0.00078	0.00087	0.0018	0.00191	0.00468	0.01762	0.00165
31	0.00127	0.00076	0.00085	0.00175	0.00186	0.00456	0.01703	0.0016
32	0.00123	0.00074	0.00083	0.0017	0.00181	0.00445	0.01649	0.00155
33	0.0012	0.00072	0.0008	0.00166	0.00176	0.00434	0.01598	0.0015
34	0.00117	0.0007	0.00078	0.00161	0.00172	0.00423	0.01549	0.00146
35	0.00114	0.00068	0.00076	0.00157	0.00168	0.00414	0.01504	0.00142
36	0.00111	0.00066	0.00074	0.00153	0.00164	0.00404	0.01461	0.00138
37	0.00108	0.00064	0.00072	0.00149	0.0016	0.00395	0.01421	0.00134
38	0.00106	0.00063	0.00071	0.00146	0.00156	0.00387	0.01383	0.0013
39	0.00103	0.00061	0.00069	0.00143	0.00153	0.00378	0.01347	0.00127
40	0.00101	0.0006	0.00067	0.00139	0.00149	0.0037	0.01312	0.00124
41	0.00099	0.00058	0.00066	0.00136	0.00146	0.00363	0.0128	0.00121
42	0.00097	0.00057	0.00064	0.00133	0.00143	0.00356	0.01249	0.00118
43	0.00095	0.00056	0.00063	0.0013	0.0014	0.00349	0.01219	0.00115
44	0.00093	0.00054	0.00062	0.00128	0.00137	0.00342	0.01191	0.00113
45	0.00091	0.00053	0.00061	0.00125	0.00135	0.00335	0.01164	0.0011
46	0.00089	0.00052	0.00059	0.00123	0.00132	0.00329	0.01138	0.00108
47	0.00087	0.00051	0.00058	0.0012	0.00129	0.00323	0.01114	0.00105
48	0.00086	0.0005	0.00057	0.00118	0.00127	0.00317	0.0109	0.00103
49	0.00084	0.00049	0.00056	0.00116	0.00125	0.00312	0.01067	0.00101
50	0.00083	0.00048	0.00055	0.00114	0.00122	0.00306	0.01046	0.00099
