	380 nm	403 nm	438 nm	453 nm	472 nm	544 nm	593 nm	640 nm
15	0.00054	0.00031	0.00037	0.00064	0.00077	0.00176	0.00787	0.00079
16	0.00052	0.0003	0.00035	0.00061	0.00073	0.00169	0.00736	0.00074
17	0.00049	0.00028	0.00033	0.00058	0.0007	0.00162	0.0069	0.00069
18	0.00047	0.00027	0.00032	0.00056	0.00067	0.00156	0.0065	0.00065
19	0.00045	0.00025	0.0003	0.00053	0.00064	0.0015	0.00614	0.00062
20	0.00043	0.00024	0.00029	0.00051	0.00062	0.00145	0.00582	0.00059
21	0.00042	0.00023	0.00028	0.00049	0.00059	0.0014	0.00554	0.00056
22	0.0004	0.00022	0.00027	0.00047	0.00057	0.00135	0.00527	0.00053
23	0.00039	0.00021	0.00026	0.00045	0.00055	0.00131	0.00504	0.00051
24	0.00037	0.00021	0.00025	0.00044	0.00053	0.00126	0.00482	0.00049
25	0.00036	0.0002	0.00024	0.00042	0.00052	0.00123	0.00462	0.00047
26	0.00035	0.00019	0.00023	0.00041	0.0005	0.00119	0.00444	0.00045
27	0.00034	0.00018	0.00022	0.0004	0.00049	0.00116	0.00427	0.00043
28	0.00033	0.00018	0.00022	0.00038	0.00047	0.00112	0.00411	0.00042
29	0.00032	0.00017	0.00021	0.00037	0.00046	0.00109	0.00397	0.0004
30	0.00031	0.00017	0.0002	0.00036	0.00044	0.00106	0.00383	0.00039
31	0.0003	0.00016	0.0002	0.00035	0.00043	0.00104	0.0037	0.00038
32	0.00029	0.00016	0.00019	0.00034	0.00042	0.00101	0.00358	0.00037
33	0.00028	0.00015	0.00019	0.00033	0.00041	0.00099	0.00347	0.00036
34	0.00028	0.00015	0.00018	0.00032	0.0004	0.00096	0.00337	0.00034
35	0.00027	0.00014	0.00018	0.00031	0.00039	0.00094	0.00327	0.00033
36	0.00026	0.00014	0.00017	0.00031	0.00038	0.00092	0.00318	0.00033
37	0.00026	0.00014	0.00017	0.0003	0.00037	0.0009	0.00309	0.00032
38	0.00025	0.00013	0.00016	0.00029	0.00036	0.00088	0.00301	0.00031
39	0.00024	0.00013	0.00016	0.00029	0.00035	0.00086	0.00293	0.0003
40	0.00024	0.00013	0.00016	0.00028	0.00035	0.00084	0.00285	0.00029
41	0.00023	0.00012	0.00015	0.00027	0.00034	0.00082	0.00278	0.00029
42	0.00023	0.00012	0.00015	0.00027	0.00033	0.00081	0.00271	0.00028
43	0.00022	0.00012	0.00015	0.00026	0.00033	0.00079	0.00265	0.00027
44	0.00022	0.00012	0.00014	0.00026	0.00032	0.00078	0.00259	0.00027
45	0.00021	0.00011	0.00014	0.00025	0.00031	0.00076	0.00253	0.00026
46	0.00021	0.00011	0.00014	0.00025	0.00031	0.00075	0.00247	0.00025
47	0.00021	0.00011	0.00014	0.00024	0.0003	0.00073	0.00242	0.00025
48	0.0002	0.00011	0.00013	0.00024	0.0003	0.00072	0.00237	0.00024
49	0.0002	0.0001	0.00013	0.00023	0.00029	0.00071	0.00232	0.00024
50	0.0002	0.0001	0.00013	0.00023	0.00028	0.0007	0.00227	0.00023
