	380 nm	403 nm	438 nm	453 nm	472 nm	526 nm	593 nm	640 nm
15	0.00263	0.00141	0.00215	0.00329	0.00353	0.00427	0.03815	0.00319
16	0.00247	0.00132	0.00204	0.00312	0.00336	0.00414	0.03536	0.00297
17	0.00233	0.00125	0.00194	0.00297	0.00321	0.00402	0.03296	0.00278
18	0.0022	0.00118	0.00185	0.00283	0.00307	0.0039	0.03085	0.00261
19	0.00209	0.00113	0.00176	0.0027	0.00294	0.0038	0.029	0.00246
20	0.00199	0.00107	0.00169	0.00258	0.00282	0.0037	0.02736	0.00233
21	0.00189	0.00102	0.00162	0.00247	0.00271	0.0036	0.0259	0.00221
22	0.00181	0.00098	0.00156	0.00238	0.00261	0.00351	0.02458	0.0021
23	0.00173	0.00094	0.0015	0.00229	0.00252	0.00342	0.02339	0.002
24	0.00166	0.0009	0.00144	0.0022	0.00243	0.00334	0.02232	0.00191
25	0.0016	0.00087	0.00139	0.00212	0.00235	0.00326	0.02133	0.00183
26	0.00153	0.00083	0.00134	0.00205	0.00227	0.00318	0.02043	0.00176
27	0.00148	0.0008	0.0013	0.00198	0.0022	0.00311	0.0196	0.00169
28	0.00143	0.00078	0.00126	0.00192	0.00214	0.00304	0.01884	0.00163
29	0.00138	0.00075	0.00122	0.00186	0.00207	0.00298	0.01813	0.00157
30	0.00133	0.00073	0.00118	0.0018	0.00201	0.00291	0.01748	0.00151
31	0.00129	0.0007	0.00115	0.00175	0.00196	0.00285	0.01687	0.00146
32	0.00125	0.00068	0.00112	0.0017	0.0019	0.0028	0.0163	0.00141
33	0.00121	0.00066	0.00109	0.00165	0.00185	0.00274	0.01577	0.00137
34	0.00118	0.00064	0.00106	0.00161	0.00181	0.00269	0.01527	0.00133
35	0.00115	0.00063	0.00103	0.00157	0.00176	0.00264	0.0148	0.00129
36	0.00111	0.00061	0.001	0.00153	0.00172	0.00259	0.01436	0.00125
37	0.00108	0.00059	0.00098	0.00149	0.00168	0.00254	0.01395	0.00121
38	0.00106	0.00058	0.00095	0.00145	0.00164	0.00249	0.01356	0.00118
39	0.00103	0.00056	0.00093	0.00142	0.0016	0.00245	0.01319	0.00115
40	0.001	0.00055	0.00091	0.00139	0.00156	0.00241	0.01284	0.00112
41	0.00098	0.00054	0.00089	0.00135	0.00153	0.00236	0.01251	0.00109
42	0.00096	0.00052	0.00087	0.00132	0.0015	0.00233	0.01219	0.00106
43	0.00093	0.00051	0.00085	0.0013	0.00147	0.00229	0.01189	0.00104
44	0.00091	0.0005	0.00083	0.00127	0.00144	0.00225	0.01161	0.00101
45	0.00089	0.00049	0.00082	0.00124	0.00141	0.00221	0.01134	0.00099
46	0.00087	0.00048	0.0008	0.00122	0.00138	0.00218	0.01108	0.00097
47	0.00086	0.00047	0.00078	0.00119	0.00135	0.00214	0.01083	0.00095
48	0.00084	0.00046	0.00077	0.00117	0.00133	0.00211	0.01059	0.00093
49	0.00082	0.00045	0.00075	0.00115	0.0013	0.00208	0.01036	0.00091
50	0.0008	0.00044	0.00074	0.00112	0.00128	0.00205	0.01015	0.00089
