	380 nm	403 nm	438 nm	453 nm	472 nm	526 nm	593 nm	640 nm
15	0.875	1.05	0.73	0.979	0.935	1.817	0.949	1.041
16	0.887	1.061	0.73	0.981	0.935	1.795	0.957	1.047
17	0.897	1.056	0.732	0.98	0.938	1.774	0.963	1.054
18	0.909	1.068	0.735	0.982	0.938	1.759	0.969	1.057
19	0.914	1.062	0.739	0.985	0.939	1.737	0.974	1.065
20	0.92	1.065	0.734	0.988	0.94	1.722	0.979	1.069
21	0.931	1.069	0.735	0.992	0.945	1.706	0.983	1.072
22	0.939	1.071	0.737	0.987	0.943	1.692	0.987	1.076
23	0.942	1.064	0.733	0.991	0.944	1.681	0.991	1.08
24	0.952	1.067	0.736	0.995	0.947	1.668	0.993	1.084
25	0.95	1.069	0.741	0.995	0.945	1.656	0.996	1.087
26	0.961	1.084	0.739	0.995	0.947	1.648	0.999	1.085
27	0.966	1.075	0.738	1.0	0.95	1.637	1.002	1.089
28	0.965	1.077	0.738	0.995	0.944	1.625	1.004	1.086
29	0.971	1.08	0.738	1.0	0.952	1.614	1.006	1.089
30	0.977	1.068	0.737	1.0	0.95	1.608	1.008	1.093
31	0.984	1.086	0.739	1.0	0.949	1.6	1.009	1.096
32	0.984	1.088	0.741	1.0	0.953	1.589	1.012	1.099
33	0.992	1.091	0.734	1.006	0.951	1.584	1.013	1.095
34	0.992	1.094	0.736	1.0	0.95	1.572	1.014	1.098
35	0.991	1.079	0.738	1.0	0.955	1.568	1.016	1.101
36	1.0	1.082	0.74	1.0	0.953	1.56	1.017	1.104
37	1.0	1.085	0.735	1.0	0.952	1.555	1.019	1.107
38	1.0	1.086	0.747	1.007	0.951	1.554	1.02	1.102
39	1.0	1.089	0.742	1.007	0.956	1.543	1.021	1.104
40	1.01	1.091	0.736	1.0	0.955	1.535	1.022	1.107
41	1.01	1.074	0.742	1.007	0.954	1.538	1.023	1.11
42	1.01	1.096	0.736	1.008	0.953	1.528	1.025	1.113
43	1.022	1.098	0.741	1.0	0.952	1.524	1.025	1.106
44	1.022	1.08	0.747	1.008	0.951	1.52	1.026	1.119
45	1.022	1.082	0.744	1.008	0.957	1.516	1.026	1.111
46	1.023	1.083	0.738	1.008	0.957	1.509	1.027	1.113
47	1.012	1.085	0.744	1.008	0.956	1.509	1.029	1.105
48	1.024	1.087	0.74	1.009	0.955	1.502	1.029	1.108
49	1.024	1.089	0.747	1.009	0.962	1.5	1.03	1.11
50	1.038	1.091	0.743	1.018	0.953	1.493	1.031	1.112
Basis	rhodamine101	2016-10-11	nW	NaN	NaN	NaN	NaN	NaN
