# transimpedance=20M	averages=1.0	pump_speed=0.1
# ch_7_config:	ch_0_config:	ch_6_config:	ch_1_config:	ch_5_config:	ch_2_config:	ch_4_config:	ch_3_config:	
# LED = 526 nm	LED = 438 nm	LED = 593 nm	LED = 453 nm	LED = 380 nm	LED = 472 nm	LED = 403 nm	LED = 640 nm	
# cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	
# ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	
# blk=1115.8+/-18.1pW	blk=3460.7+/-17.8pW	blk=505.3+/-19.5pW	blk=1202.7+/-17.2pW	blk=1494.7+/-25.1pW	blk=688.1+/-16.6pW	blk=700.3+/-17.5pW	blk=1413.2+/-15.7pW	
# t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	dark_7 [nW]	dark_0 [nW]	dark_6 [nW]	dark_1 [nW]	dark_5 [nW]	dark_2 [nW]	dark_4 [nW]	dark_3 [nW]	tmep[deg C]
0	1.403851	0.014828	3.515732	0.029656	0.671407	0.044484	1.586962	0.059312	2.063051	0.074141	0.842311	0.088969	1.306192	0.103797	1.745659	0.170904	0.183111	0.134281	0.146489	0.219733	0.207526	0.207526	0.207526	31.1
0.119125	1.403851	0.133937	3.540147	0.14875	0.671407	0.163562	1.59917	0.178375	2.063051	0.193188	0.842311	0.208	1.3184	0.222812	1.721244	0.183111	0.183111	0.134281	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
0.238	1.391644	0.252828	3.540147	0.267656	0.683615	0.282484	1.611377	0.297312	2.050844	0.312141	0.842311	0.326969	1.306192	0.341797	1.721244	0.170904	0.183111	0.122074	0.134281	0.207526	0.219733	0.207526	0.195318	31.1
0.357	1.416059	0.371828	3.540147	0.386656	0.683615	0.401484	1.59917	0.416312	2.063051	0.431141	0.854518	0.445969	1.3184	0.460797	1.733451	0.170904	0.170904	0.146489	0.122074	0.207526	0.207526	0.195318	0.207526	31.1
0.476	1.403851	0.490844	3.52794	0.505687	0.671407	0.520531	1.59917	0.535375	2.063051	0.550219	0.854518	0.565063	1.306192	0.579906	1.757866	0.170904	0.183111	0.122074	0.122074	0.219733	0.219733	0.195318	0.207526	31.1
0.595125	1.391644	0.609953	3.540147	0.624781	0.683615	0.639609	1.586962	0.654438	2.063051	0.669266	0.842311	0.684094	1.306192	0.698922	1.733451	0.170904	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.207526	31.1
0.714125	1.403851	0.728953	3.540147	0.743781	0.671407	0.758609	1.59917	0.773438	2.075259	0.788266	0.854518	0.803094	1.3184	0.817922	1.721244	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
0.833125	1.391644	0.847938	3.52794	0.86275	0.683615	0.877563	1.59917	0.892375	2.063051	0.907188	0.842311	0.922	1.293985	0.936813	1.733451	0.170904	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.207526	31.1
0.952125	1.391644	0.966938	3.540147	0.98175	0.683615	0.996563	1.59917	1.011375	2.050844	1.026188	0.866726	1.041	1.306192	1.055813	1.733451	0.170904	0.183111	0.122074	0.134281	0.219733	0.219733	0.195318	0.195318	31.1
1.071	1.391644	1.085844	3.52794	1.100688	0.683615	1.115531	1.59917	1.130375	2.063051	1.145219	0.854518	1.160062	1.306192	1.174906	1.721244	0.183111	0.183111	0.134281	0.122074	0.207526	0.219733	0.207526	0.207526	31.1
1.190125	1.391644	1.204953	3.52794	1.219781	0.671407	1.234609	1.586962	1.249437	2.050844	1.264266	0.842311	1.279094	1.3184	1.293922	1.733451	0.183111	0.170904	0.122074	0.134281	0.207526	0.219733	0.195318	0.207526	31.1
1.309125	1.391644	1.323953	3.52794	1.338781	0.671407	1.353609	1.59917	1.368438	2.063051	1.383266	0.854518	1.398094	1.306192	1.412922	1.721244	0.183111	0.170904	0.134281	0.146489	0.219733	0.207526	0.195318	0.207526	31.1
1.42825	1.379437	1.443078	3.540147	1.457906	0.6592	1.472734	1.59917	1.487563	2.063051	1.502391	0.854518	1.517219	1.293985	1.532047	1.757866	0.183111	0.170904	0.122074	0.134281	0.219733	0.207526	0.207526	0.195318	31.1
1.54725	1.391644	1.562094	3.515732	1.576938	0.6592	1.591781	1.59917	1.606625	2.099673	1.621469	0.842311	1.636312	1.330607	1.651156	1.745659	0.183111	0.183111	0.134281	0.146489	0.207526	0.207526	0.195318	0.207526	31.1
