Genus	Order	Color
anabaena	Nostocales	#46B325
anabaenopsis	Nostocales	#46B325
microcoleus 	Oscillatoriales	#46B325
phormidium	Oscillatoriales	#46B325
cyanobacteria	Pseudanabaenales	#46B325
spirulina	Spirulinales	#46B325
merismopedia	Synechococcales	#46B325
synechococcus	Synechococcales	#46B325
bonnemaisonia	Bonnemaisoniales	#1F1F1F
rhodella	Glaucosphaerales	#1F1F1F
alexandrium	Gonyaulacales	#C74D0E
amphidinium	Gymnodiniales	#C74D0E
lepidodinium	Gymnodiniales	#C74D0E
karlodinium	Gymnodiniales	#C74D0E
kryptoperidinium	Dinotrichales	#C74D0E
prorocentrum	Prorocentrales	#C74D0E
pyrocystis	Pyrocystales	#C74D0E
heterocapsa	Peridiniales	#C74D0E
scrippsiella	Peridiniales	#C74D0E
chilomonas	Cryptomonadales	#8F8F8F
chroomonas	Pyrenomonadales	#8F8F8F
hemiselmis	Pyrenomonadales	#8F8F8F
rhodomonas	Pyrenomonadales	#8F8F8F
teleaulax	Pyrenomonadales	#8F8F8F
urgorri	Pyrenomonadales	#8F8F8F
isochrysis	Isochrysidales	#333333
emiliania	Isochrysidales	#333333
chrysochromulina	Prymnesiales	#333333
haptolina	Prymnesiales	#333333
imantonia	Prymnesiales	#333333
prymnesium	Prymnesiales	#333333
pavlova	Pavlovales	#333333
pleurochrysis	Coccolithales	#333333
ankylochrysis	Sarcinochrysidales	#7A7A7A
chloridella	Mischococcales	#7A7A7A
heterosigma	Chattonellales	#7A7A7A
eustigmatos	Eustigmatales	#7A7A7A
nannochloropsis	Eustigmatales	#7A7A7A
ochromonas	Chromulinales	#7A7A7A
ollicola	Chromulinales	#7A7A7A
chaetoceros	Chaetocerotales	#5C5C5C
cyclotella	Stephanodiscales	#5C5C5C
minutocellus	Cymatosirales	#5C5C5C
conticribra	Thalassiosirales	#5C5C5C
thalassiosira	Thalassiosirales	#5C5C5C
skeletonema	Thalassiosirales	#5C5C5C
cylindrotheca	Bacillariales	#5C5C5C
phaeodactylum	Bacillariales	#5C5C5C
amphora	Thalassiophysales	#5C5C5C
chlamydomonas	Chlamydomonadales	#474747
dunaliella	Chlamydomonadales	#474747
chlorella	Chlorellales	#474747
mamiella	Mamiellales	#474747
micromonas	Mamiellales	#474747
ostreococcus	Mamiellales	#474747
nephroselmis	Nephroselmidales	#474747
oltmannsiellopsis	Oltmannsiellopsidales	#474747
pyramimonas	Pyramimonadales	#474747
scenedesmus	Sphaeropleales	#474747
tetraselmis	Chlorodendrales	#474747
eutreptiella	Eutreptiaceae	#A3A3A3
eutreptia	Eutreptiaceae	#A3A3A3
sample	sample	gold
