Genus	Phylum	Color	
anabaena	Cyanobacteria	#46B325	
anabaenopsis	Cyanobacteria	#46B325	
microcoleus 	Cyanobacteria	#46B325	
phormidium	Cyanobacteria	#46B325	
cyanobacteria	Cyanobacteria	#46B325	
spirulina	Cyanobacteria	#46B325	
merismopedia	Cyanobacteria	#46B325	
synechococcus	Cyanobacteria	#46B325	
bonnemaisonia	Rhodophyta	#1F1F1F	
rhodella	Rhodophyta	#1F1F1F	
alexandrium	Miozoa	#C74D0E	 
amphidinium	Miozoa	#C74D0E	
lepidodinium	Miozoa	#C74D0E	
karlodinium	Miozoa	#C74D0E	
kryptoperidinium	Miozoa	#C74D0E	
prorocentrum	Miozoa	#C74D0E	
pyrocystis	Miozoa	#C74D0E	
heterocapsa	Miozoa	#C74D0E	
scrippsiella	Miozoa	#C74D0E	
chilomonas	Cryptophyta	#8F8F8F	
chroomonas	Cryptophyta	#8F8F8F	
hemiselmis	Cryptophyta	#8F8F8F	
rhodomonas	Cryptophyta	#8F8F8F	
teleaulax	Cryptophyta	#8F8F8F	
urgorri	Cryptophyta	#8F8F8F	
isochrysis	Haptophyta	#333333	
emiliania	Haptophyta	#333333	
chrysochromulina	Haptophyta	#333333	
haptolina	Haptophyta	#333333	
imantonia	Haptophyta	#333333	
prymnesium	Haptophyta	#333333	
pavlova	Haptophyta	#333333	
pleurochrysis	Haptophyta	#333333	
ankylochrysis	Ochrophyta	#7A7A7A	
chloridella	Ochrophyta	#7A7A7A	
heterosigma	Ochrophyta	#7A7A7A	
eustigmatos	Ochrophyta	#7A7A7A	
nannochloropsis	Ochrophyta	#7A7A7A	
ochromonas	Ochrophyta	#7A7A7A	
ollicola	Ochrophyta	#7A7A7A	
chaetoceros	Bacillariophyta	#5C5C5C	
cyclotella	Bacillariophyta	#5C5C5C	
minutocellus	Bacillariophyta	#5C5C5C	
conticribra	Bacillariophyta	#5C5C5C	
thalassiosira	Bacillariophyta	#5C5C5C	
skeletonema	Bacillariophyta	#5C5C5C	
cylindrotheca	Bacillariophyta	#5C5C5C	
phaeodactylum	Bacillariophyta	#5C5C5C	
amphora	Bacillariophyta	#5C5C5C	
chlamydomonas	Chlorophyta	#474747	
dunaliella	Chlorophyta	#474747	
chlorella	Chlorophyta	#474747	
mamiella	Chlorophyta	#474747	
micromonas	Chlorophyta	#474747	
ostreococcus	Chlorophyta	#474747	
nephroselmis	Chlorophyta	#474747	
oltmannsiellopsis	Chlorophyta	#474747	
pyramimonas	Chlorophyta	#474747	
scenedesmus	Chlorophyta	#474747	
tetraselmis	Chlorophyta	#474747	
eutreptiella	Euglenophyta	#A3A3A3	
eutreptia	Euglenophyta	#A3A3A3	
sample	sample	gold	
