Genus	Class	Color
anabaena	Cyanophyceae	dodgerblue
anabaenopsis	Cyanophyceae	dodgerblue
microcoleus 	Cyanophyceae	dodgerblue
phormidium	Cyanophyceae	dodgerblue
cyanobacteria	Cyanophyceae	dodgerblue
spirulina	Cyanophyceae	dodgerblue
merismopedia	Cyanophyceae	dodgerblue
synechococcus	Cyanophyceae	dodgerblue
bonnemaisonia	Florideophyceae	deeppink
rhodella	Rhodellophyceae	deeppink
alexandrium	Dinophyceae	firebrick
amphidinium	Dinophyceae	firebrick
lepidodinium	Dinophyceae	firebrick
karlodinium	Dinophyceae	firebrick
kryptoperidinium	Dinophyceae	firebrick
prorocentrum	Dinophyceae	firebrick
pyrocystis	Dinophyceae	firebrick
heterocapsa	Dinophyceae	firebrick
scrippsiella	Dinophyceae	firebrick
chilomonas	Cryptophyceae	cyan
chroomonas	Cryptophyceae	cyan
hemiselmis	Cryptophyceae	cyan
rhodomonas	Cryptophyceae	cyan
teleaulax	Cryptophyceae	cyan
urgorri	Cryptophyceae	cyan
isochrysis	Coccolithophyceae	goldenrod
emiliania	Coccolithophyceae	goldenrod
chrysochromulina	Coccolithophyceae	goldenrod
haptolina	Coccolithophyceae	goldenrod
imantonia	Coccolithophyceae	goldenrod
prymnesium	Coccolithophyceae	goldenrod
pavlova	Pavlovophyceae	goldenrod
pleurochrysis	Coccolithophyceae	goldenrod
ankylochrysis	Pelagophyceae	darkolivegreen
chloridella	Xanthophyceae	darkolivegreen
heterosigma	Raphidophyceae	darkolivegreen
eustigmatos	Eustigmatophyceae	darkolivegreen
nannochloropsis	Eustigmatophyceae	darkolivegreen
ochromonas	Chrysophyceae	darkolivegreen
ollicola	Chrysophyceae	darkolivegreen
chaetoceros	Mediophyceae	sienna
cyclotella	Mediophyceae	sienna
minutocellus	Mediophyceae	sienna
conticribra	Mediophyceae	sienna
thalassiosira	Mediophyceae	sienna
skeletonema	Mediophyceae	sienna
cylindrotheca	Bacillariophyceae	sienna
phaeodactylum	Bacillariophyceae	sienna
amphora	Bacillariophyceae	sienna
chlamydomonas	Chlorophyceae	chartreuse
dunaliella	Chlorophyceae	chartreuse
chlorella	Trebouxiophyceae	chartreuse
mamiella	Mamiellophyceae	chartreuse
micromonas	Mamiellophyceae	chartreuse
ostreococcus	Mamiellophyceae	chartreuse
nephroselmis	Nephrophyceae	chartreuse
oltmannsiellopsis	Ulvophyceae	chartreuse
pyramimonas	Pyramimonadophyceae	chartreuse
scenedesmus	Chlorophyceae	chartreuse
tetraselmis	Chlorodendrophyceae	chartreuse
eutreptiella	Euglenophyceae	orchid
eutreptia	Euglenophyceae	orchid
sample	sample	gold
