Genus	Family	Color
anabaena	Nostocaceae	dodgerblue
anabaenopsis	Aphanizomenonaceae	dodgerblue
microcoleus 	Microcoleaceae	dodgerblue
phormidium	Oscillatoriaceae	dodgerblue
cyanobacteria	Cyanophyceae	dodgerblue
spirulina	Spirulinaceae	dodgerblue
merismopedia	Merismopediaceae	dodgerblue
synechococcus	Synechococcaceae	dodgerblue
bonnemaisonia	Bonnemaisoniaceae	deeppink
rhodella	Glaucosphaeraceae	deeppink
alexandrium	Goniodomataceae	firebrick
amphidinium	Gymnodiniaceae	firebrick
lepidodinium	Gymnodiniaceae	firebrick
karlodinium	Kareniaceae	firebrick
kryptoperidinium	Dinotrichaceae	firebrick
prorocentrum	Prorocentraceae	firebrick
pyrocystis	Pyrocystaceae	firebrick
heterocapsa	Heterocapsaceae	firebrick
scrippsiella	Thoracosphaeraceae	firebrick
chilomonas	Campylomonadaceae	cyan
chroomonas	Chroomonadaceae	cyan
hemiselmis	Chroomonadaceae	cyan
rhodomonas	Pyrenomonadaceae	cyan
teleaulax	Geminigeraceae	cyan
urgorri	Geminigeraceae	cyan
isochrysis	Isochrysidaceae	goldenrod
emiliania	Noelaerhabdaceae	goldenrod
chrysochromulina	Chrysochromulinaceae	goldenrod
haptolina	Prymnesiaceae	goldenrod
imantonia	Prymnesiaceae	goldenrod
prymnesium	Prymnesiaceae	goldenrod
pavlova	Pavlovaceae	goldenrod
pleurochrysis	Pleurochrysidaceae	goldenrod
ankylochrysis	Sarcinochrysidaceae	darkolivegreen
chloridella	Mischococcales	darkolivegreen
heterosigma	Chattonellaceae	darkolivegreen
eustigmatos	Eustigmataceae	darkolivegreen
nannochloropsis	Monodopsidaceae	darkolivegreen
ochromonas	Chromulinaceae	darkolivegreen
ollicola	Dinobryaceae	darkolivegreen
chaetoceros	Chaetocerotaceae	sienna
cyclotella	Stephanodiscaceae	sienna
minutocellus	Cymatosiraceae	sienna
conticribra	Thalassiosiraceae	sienna
thalassiosira	Thalassiosiraceae	sienna
skeletonema	Skeletonemataceae	sienna
cylindrotheca	Bacillariaceae	sienna
phaeodactylum	Phaeodactylaceae	sienna
amphora	Catenulaceae	sienna
chlamydomonas	Chlamydomonadaceae	chartreuse
dunaliella	Dunaliellaceae	chartreuse
chlorella	Chlorellaceae	chartreuse
mamiella	Mamiellaceae	chartreuse
micromonas	Mamiellaceae	chartreuse
ostreococcus	Bathycoccaceae	chartreuse
nephroselmis	Nephroselmidaceae	chartreuse
oltmannsiellopsis	Oltmannsiellopsidaceae	chartreuse
pyramimonas	Pyramimonadaceae	chartreuse
scenedesmus	Scenedesmoidea	chartreuse
tetraselmis	Chlorodendraceae	chartreuse
eutreptiella	Eutreptiaceae	orchid
eutreptia	Eutreptiaceae	orchid
sample	sample	gold
