Genus	Order	Color
anabaena	Nostocales	dodgerblue
anabaenopsis	Nostocales	dodgerblue
microcoleus 	Oscillatoriales	dodgerblue
phormidium	Oscillatoriales	dodgerblue
cyanobacteria	Pseudanabaenales	dodgerblue
spirulina	Spirulinales	dodgerblue
merismopedia	Synechococcales	dodgerblue
synechococcus	Synechococcales	dodgerblue
bonnemaisonia	Bonnemaisoniales	deeppink
rhodella	Glaucosphaerales	deeppink
alexandrium	Gonyaulacales	firebrick
amphidinium	Gymnodiniales	firebrick
lepidodinium	Gymnodiniales	firebrick
karlodinium	Gymnodiniales	firebrick
kryptoperidinium	Dinotrichales	firebrick
prorocentrum	Prorocentrales	firebrick
pyrocystis	Pyrocystales	firebrick
heterocapsa	Peridiniales	firebrick
scrippsiella	Peridiniales	firebrick
chilomonas	Cryptomonadales	cyan
chroomonas	Pyrenomonadales	cyan
hemiselmis	Pyrenomonadales	cyan
rhodomonas	Pyrenomonadales	cyan
teleaulax	Pyrenomonadales	cyan
urgorri	Pyrenomonadales	cyan
isochrysis	Isochrysidales	goldenrod
emiliania	Isochrysidales	goldenrod
chrysochromulina	Prymnesiales	goldenrod
haptolina	Prymnesiales	goldenrod
imantonia	Prymnesiales	goldenrod
prymnesium	Prymnesiales	goldenrod
pavlova	Pavlovales	goldenrod
pleurochrysis	Coccolithales	goldenrod
ankylochrysis	Sarcinochrysidales	darkolivegreen
chloridella	Mischococcales	darkolivegreen
heterosigma	Chattonellales	darkolivegreen
eustigmatos	Eustigmatales	darkolivegreen
nannochloropsis	Eustigmatales	darkolivegreen
ochromonas	Chromulinales	darkolivegreen
ollicola	Chromulinales	darkolivegreen
chaetoceros	Chaetocerotales	sienna
cyclotella	Stephanodiscales	sienna
minutocellus	Cymatosirales	sienna
conticribra	Thalassiosirales	sienna
thalassiosira	Thalassiosirales	sienna
skeletonema	Thalassiosirales	sienna
cylindrotheca	Bacillariales	sienna
phaeodactylum	Bacillariales	sienna
amphora	Thalassiophysales	sienna
chlamydomonas	Chlamydomonadales	chartreuse
dunaliella	Chlamydomonadales	chartreuse
chlorella	Chlorellales	chartreuse
mamiella	Mamiellales	chartreuse
micromonas	Mamiellales	chartreuse
ostreococcus	Mamiellales	chartreuse
nephroselmis	Nephroselmidales	chartreuse
oltmannsiellopsis	Oltmannsiellopsidales	chartreuse
pyramimonas	Pyramimonadales	chartreuse
scenedesmus	Sphaeropleales	chartreuse
tetraselmis	Chlorodendrales	chartreuse
eutreptiella	Eutreptiaceae	orchid
eutreptia	Eutreptiaceae	orchid
sample	sample	gold
