Genus	Phylum	Color	
anabaena	Cyanobacteria	dodgerblue	
anabaenopsis	Cyanobacteria	dodgerblue	
microcoleus 	Cyanobacteria	dodgerblue	
phormidium	Cyanobacteria	dodgerblue	
cyanobacteria	Cyanobacteria	dodgerblue	
spirulina	Cyanobacteria	dodgerblue	
merismopedia	Cyanobacteria	dodgerblue	
synechococcus	Cyanobacteria	dodgerblue	
bonnemaisonia	Rhodophyta	deeppink	
rhodella	Rhodophyta	deeppink	
alexandrium	Miozoa	firebrick	 
amphidinium	Miozoa	firebrick	
lepidodinium	Miozoa	firebrick	
karlodinium	Miozoa	firebrick	
kryptoperidinium	Miozoa	firebrick	
prorocentrum	Miozoa	firebrick	
pyrocystis	Miozoa	firebrick	
heterocapsa	Miozoa	firebrick	
scrippsiella	Miozoa	firebrick	
chilomonas	Cryptophyta	cyan	
chroomonas	Cryptophyta	cyan	
hemiselmis	Cryptophyta	cyan	
rhodomonas	Cryptophyta	cyan	
teleaulax	Cryptophyta	cyan	
urgorri	Cryptophyta	cyan	
isochrysis	Haptophyta	goldenrod	
emiliania	Haptophyta	goldenrod	
chrysochromulina	Haptophyta	goldenrod	
haptolina	Haptophyta	goldenrod	
imantonia	Haptophyta	goldenrod	
prymnesium	Haptophyta	goldenrod	
pavlova	Haptophyta	goldenrod	
pleurochrysis	Haptophyta	goldenrod	
ankylochrysis	Ochrophyta	darkolivegreen	
chloridella	Ochrophyta	darkolivegreen	
heterosigma	Ochrophyta	darkolivegreen	
eustigmatos	Ochrophyta	darkolivegreen	
nannochloropsis	Ochrophyta	darkolivegreen	
ochromonas	Ochrophyta	darkolivegreen	
ollicola	Ochrophyta	darkolivegreen	
chaetoceros	Bacillariophyta	sienna	
cyclotella	Bacillariophyta	sienna	
minutocellus	Bacillariophyta	sienna	
conticribra	Bacillariophyta	sienna	
thalassiosira	Bacillariophyta	sienna	
skeletonema	Bacillariophyta	sienna	
cylindrotheca	Bacillariophyta	sienna	
phaeodactylum	Bacillariophyta	sienna	
amphora	Bacillariophyta	sienna	
chlamydomonas	Chlorophyta	chartreuse	
dunaliella	Chlorophyta	chartreuse	
chlorella	Chlorophyta	chartreuse	
mamiella	Chlorophyta	chartreuse	
micromonas	Chlorophyta	chartreuse	
ostreococcus	Chlorophyta	chartreuse	
nephroselmis	Chlorophyta	chartreuse	
oltmannsiellopsis	Chlorophyta	chartreuse	
pyramimonas	Chlorophyta	chartreuse	
scenedesmus	Chlorophyta	chartreuse	
tetraselmis	Chlorophyta	chartreuse	
eutreptiella	Euglenophyta	orchid	
eutreptia	Euglenophyta	orchid	
sample	sample	gold	
