	380 nm	403 nm	438 nm	453 nm	472 nm	526 nm	593 nm	640 nm
15	2.35011	1.25464	0.99818	1.65367	1.13082	1.9364	19.11336	1.26415
16	2.32292	1.24959	0.99818	1.65665	1.14304	1.97501	18.91296	1.25223
17	2.29895	1.24505	0.99818	1.6594	1.15428	2.01121	18.73593	1.24167
18	2.27766	1.24096	0.99818	1.66184	1.16464	2.04517	18.5784	1.23226
19	2.25862	1.23726	0.99818	1.66412	1.17424	2.07709	18.43732	1.22382
20	2.2415	1.23392	0.99818	1.6662	1.18316	2.10708	18.30575	1.21621
21	2.22601	1.23086	0.99818	1.66808	1.19147	2.13543	18.19092	1.20931
22	2.21195	1.22804	0.99818	1.66985	1.19922	2.16222	18.08646	1.20303
23	2.19911	1.22548	0.99818	1.67149	1.20647	2.18757	17.99102	1.19728
24	2.18734	1.22309	0.99818	1.67298	1.21326	2.2116	17.90348	1.192
25	2.17652	1.22088	0.99818	1.6744	1.21964	2.23434	17.8229	1.18714
26	2.16654	1.21883	0.99818	1.67569	1.22565	2.25601	17.74849	1.18264
27	2.1573	1.21694	0.99818	1.67693	1.2313	2.27664	17.67633	1.17847
28	2.14872	1.21515	0.99818	1.67809	1.23665	2.29628	17.61241	1.1746
29	2.14074	1.21349	0.99818	1.67915	1.24171	2.31502	17.55288	1.17099
30	2.13329	1.21194	0.99818	1.68018	1.2465	2.33286	17.49729	1.16762
31	2.12632	1.21047	0.99818	1.68115	1.25105	2.34996	17.44527	1.16446
32	2.11979	1.20909	0.99818	1.68203	1.25537	2.36632	17.39649	1.1615
33	2.11365	1.20779	0.99818	1.6829	1.25948	2.38199	17.35065	1.15871
34	2.10788	1.20657	0.99818	1.68369	1.26339	2.39697	17.30498	1.15609
35	2.10244	1.20541	0.99818	1.68447	1.26712	2.41138	17.26436	1.15361
36	2.09731	1.2043	0.99818	1.68521	1.27067	2.42522	17.22598	1.15127
37	2.09243	1.20325	0.99818	1.68588	1.27407	2.4385	17.18953	1.14905
38	2.08783	1.20227	0.99818	1.68655	1.27732	2.45129	17.15512	1.14695
39	2.08346	1.20132	0.99818	1.68716	1.28044	2.46355	17.12247	1.14494
40	2.07932	1.20042	0.99818	1.68777	1.28342	2.47541	17.08934	1.14304
41	2.07537	1.19958	0.99818	1.68836	1.28629	2.48684	17.05988	1.14124
42	2.07162	1.19876	0.99818	1.68889	1.28904	2.49786	17.03181	1.13952
43	2.06804	1.19798	0.99818	1.68943	1.29168	2.5085	17.00505	1.13789
44	2.06462	1.19723	0.99818	1.68994	1.29422	2.51873	16.97949	1.13632
45	2.06136	1.19652	0.99818	1.69041	1.29666	2.52866	16.95507	1.13483
46	2.05823	1.19583	0.99818	1.69088	1.29901	2.53825	16.9317	1.1334
47	2.05524	1.19517	0.99818	1.69132	1.30128	2.54754	16.90756	1.13202
48	2.05238	1.19455	0.99818	1.69176	1.30347	2.55648	16.88615	1.13071
49	2.04963	1.19394	0.99818	1.69218	1.30558	2.56518	16.86561	1.12945
50	2.04699	1.19336	0.99818	1.69256	1.30761	2.57362	16.8459	1.12824
Basis	Rhodamine101	2017-05-05	nW	NaN	NaN	NaN	NaN	NaN
