Genus	Class	Color
anabaena	Cyanophyceae	#46B325
anabaenopsis	Cyanophyceae	#46B325
microcoleus 	Cyanophyceae	#46B325
phormidium	Cyanophyceae	#46B325
cyanobacteria	Cyanophyceae	#46B325
spirulina	Cyanophyceae	#46B325
merismopedia	Cyanophyceae	#46B325
synechococcus	Cyanophyceae	#46B325
bonnemaisonia	Florideophyceae	#1F1F1F
rhodella	Rhodellophyceae	#1F1F1F
alexandrium	Dinophyceae	#C74D0E
amphidinium	Dinophyceae	#C74D0E
lepidodinium	Dinophyceae	#C74D0E
karlodinium	Dinophyceae	#C74D0E
kryptoperidinium	Dinophyceae	#C74D0E
prorocentrum	Dinophyceae	#C74D0E
pyrocystis	Dinophyceae	#C74D0E
heterocapsa	Dinophyceae	#C74D0E
scrippsiella	Dinophyceae	#C74D0E
chilomonas	Cryptophyceae	#8F8F8F
chroomonas	Cryptophyceae	#8F8F8F
hemiselmis	Cryptophyceae	#8F8F8F
rhodomonas	Cryptophyceae	#8F8F8F
teleaulax	Cryptophyceae	#8F8F8F
urgorri	Cryptophyceae	#8F8F8F
isochrysis	Coccolithophyceae	#333333
emiliania	Coccolithophyceae	#333333
chrysochromulina	Coccolithophyceae	#333333
haptolina	Coccolithophyceae	#333333
imantonia	Coccolithophyceae	#333333
prymnesium	Coccolithophyceae	#333333
pavlova	Pavlovophyceae	#333333
pleurochrysis	Coccolithophyceae	#333333
ankylochrysis	Pelagophyceae	#7A7A7A
chloridella	Xanthophyceae	#7A7A7A
heterosigma	Raphidophyceae	#7A7A7A
eustigmatos	Eustigmatophyceae	#7A7A7A
nannochloropsis	Eustigmatophyceae	#7A7A7A
ochromonas	Chrysophyceae	#7A7A7A
ollicola	Chrysophyceae	#7A7A7A
chaetoceros	Mediophyceae	#5C5C5C
cyclotella	Mediophyceae	#5C5C5C
minutocellus	Mediophyceae	#5C5C5C
conticribra	Mediophyceae	#5C5C5C
thalassiosira	Mediophyceae	#5C5C5C
skeletonema	Mediophyceae	#5C5C5C
cylindrotheca	Bacillariophyceae	#5C5C5C
phaeodactylum	Bacillariophyceae	#5C5C5C
amphora	Bacillariophyceae	#5C5C5C
chlamydomonas	Chlorophyceae	#474747
dunaliella	Chlorophyceae	#474747
chlorella	Trebouxiophyceae	#474747
mamiella	Mamiellophyceae	#474747
micromonas	Mamiellophyceae	#474747
ostreococcus	Mamiellophyceae	#474747
nephroselmis	Nephrophyceae	#474747
oltmannsiellopsis	Ulvophyceae	#474747
pyramimonas	Pyramimonadophyceae	#474747
scenedesmus	Chlorophyceae	#474747
tetraselmis	Chlorodendrophyceae	#474747
eutreptiella	Euglenophyceae	#A3A3A3
eutreptia	Euglenophyceae	#A3A3A3
sample	sample	gold
