Genus	Family	Color
anabaena	Nostocaceae	#46B325
anabaenopsis	Aphanizomenonaceae	#46B325
microcoleus 	Microcoleaceae	#46B325
phormidium	Oscillatoriaceae	#46B325
cyanobacteria	Cyanophyceae	#46B325
spirulina	Spirulinaceae	#46B325
merismopedia	Merismopediaceae	#46B325
synechococcus	Synechococcaceae	#46B325
bonnemaisonia	Bonnemaisoniaceae	#1F1F1F
rhodella	Glaucosphaeraceae	#1F1F1F
alexandrium	Goniodomataceae	#C74D0E
amphidinium	Gymnodiniaceae	#C74D0E
lepidodinium	Gymnodiniaceae	#C74D0E
karlodinium	Kareniaceae	#C74D0E
kryptoperidinium	Dinotrichaceae	#C74D0E
prorocentrum	Prorocentraceae	#C74D0E
pyrocystis	Pyrocystaceae	#C74D0E
heterocapsa	Heterocapsaceae	#C74D0E
scrippsiella	Thoracosphaeraceae	#C74D0E
chilomonas	Campylomonadaceae	#8F8F8F
chroomonas	Chroomonadaceae	#8F8F8F
hemiselmis	Chroomonadaceae	#8F8F8F
rhodomonas	Pyrenomonadaceae	#8F8F8F
teleaulax	Geminigeraceae	#8F8F8F
urgorri	Geminigeraceae	#8F8F8F
isochrysis	Isochrysidaceae	#333333
emiliania	Noelaerhabdaceae	#333333
chrysochromulina	Chrysochromulinaceae	#333333
haptolina	Prymnesiaceae	#333333
imantonia	Prymnesiaceae	#333333
prymnesium	Prymnesiaceae	#333333
pavlova	Pavlovaceae	#333333
pleurochrysis	Pleurochrysidaceae	#333333
ankylochrysis	Sarcinochrysidaceae	#7A7A7A
chloridella	Mischococcales	#7A7A7A
heterosigma	Chattonellaceae	#7A7A7A
eustigmatos	Eustigmataceae	#7A7A7A
nannochloropsis	Monodopsidaceae	#7A7A7A
ochromonas	Chromulinaceae	#7A7A7A
ollicola	Dinobryaceae	#7A7A7A
chaetoceros	Chaetocerotaceae	#5C5C5C
cyclotella	Stephanodiscaceae	#5C5C5C
minutocellus	Cymatosiraceae	#5C5C5C
conticribra	Thalassiosiraceae	#5C5C5C
thalassiosira	Thalassiosiraceae	#5C5C5C
skeletonema	Skeletonemataceae	#5C5C5C
cylindrotheca	Bacillariaceae	#5C5C5C
phaeodactylum	Phaeodactylaceae	#5C5C5C
amphora	Catenulaceae	#5C5C5C
chlamydomonas	Chlamydomonadaceae	#474747
dunaliella	Dunaliellaceae	#474747
chlorella	Chlorellaceae	#474747
mamiella	Mamiellaceae	#474747
micromonas	Mamiellaceae	#474747
ostreococcus	Bathycoccaceae	#474747
nephroselmis	Nephroselmidaceae	#474747
oltmannsiellopsis	Oltmannsiellopsidaceae	#474747
pyramimonas	Pyramimonadaceae	#474747
scenedesmus	Scenedesmoidea	#474747
tetraselmis	Chlorodendraceae	#474747
eutreptiella	Eutreptiaceae	#A3A3A3
eutreptia	Eutreptiaceae	#A3A3A3
sample	sample	gold
