	380 nm	403 nm	438 nm	453 nm	472 nm	526 nm	593 nm	640 nm
imantonia	89.37586662	128.7607469	166.6667864	187.6379312	154.8702387	64.24238935	0	7.41851681
haptolina	44.83637492	62.06240605	76.06532924	85.84126586	75.29805795	25.99566838	0	6.19178683
haptolina	74.48250473	102.9966916	126.152874	141.8466098	125.4540702	43.12569855	0	10.24124956
isochrysis	47.39733338	68.8762941	94.76901981	102.4269836	75.20632557	30.26874789	0	7.80514642
amphidinium	26.48773	19.58541	60.55158	66.48584	46.67554	26.08811	9.4116	13.7039
pyramimonas	14.76696	20.57465	26.05777	25.80486	20.03369	5.42071	1.10928	7.66867
heterosigma	53.86454	90.15244	85.47578	76.58287	56.04596	36.07435	6.64486	24.34754
pavlova	53.63905	84.40981	93.86805	96.74621	65.93619	36.22067	6.20719	16.87876
prymnesium	68.21	103.3	101.26	109.7	97.52	48.31	12.03	22.85
chrysochromulina	57.73	88.27	91.72	104.91	92.44	36.45	8.15	14.96
cyclotella	20.28471	35.4776	31.69613	30.4654	17.38524	11.82116	1.63103	6.83785
lepidodinium	48.09774	73.30587	71.02609	67.81897	65.25041	12.74935	6.43607	38.34852
karlodinium	19.84688	31.86575	33.98745	32.88839	30.11257	10.4384	1.29927	5.1167
scrippsiella	31.91088	64.45748	62.68054	59.21804	53.75488	30.53106	5.26645	20.07626
heterocapsa	56.2	86.44	92.01	103.1	84.58	43.66	7.32	20.54
pleurochrysis	4.07909	6.10786	5.54658	5.62593	3.99166	2.1232	1.77318	4.33119
oltmannsiellopsis	52.38615	83.18625	72.92853	72.00077	59.07486	10.70083	6.86854	41.72914
chlamydomonas	35.75005	52.46631	55.58759	55.86264	39.80431	6.54488	4.1601	20.94568
nephroselmis	52.00432	73.415	98.20744	99.16658	78.84501	31.89953	8.42047	33.65493
ostreococcus	30.52151	39.21851	63.04978	61.90928	43.85161	13.50195	2.71386	12.04028
mamiella	7.02719561	9.33187352	13.75706127	13.97011718	11.07157037	3.03864299	0	1.79115226
chroomonas	15.32972	24.19317	24.17653	20.10387	10.62551	4.72878	11.122	31.76849
chroomonas	9.50265	16.56219	15.86589	13.09528	5.44565	3.7578	10.28379	27.12412
urgorri	46.14711	73.61867	77.5843	70.51936	49.88734	34.62359	12.42385	17.5581
hemiselmis	10.95859	16.58066	18.49065	17.53297	11.29812	5.96202	6.01188	8.27058
hemiselmis	3.92775147	5.88686047	6.09065477	5.8190016	3.96653736	3.47972053	0	0
nannochloropsis	129.66	186.83	240.44	189.31	88.94	24.44	11.05	36.77
ankylochrysis	31.79973	45.83736	57.99847	60.48875	46.76556	19.92107	3.60884	9.98211
cylindrotheca	39.65911	69.18737	56.67845	53.52835	44.8424	24.48781	6.25057	29.22059
eutreptiella	43.87981	63.44791	70.88321	61.29399	45.97585	11.18551	5.18053	29.07332
alexandrium	3.21952	2.86791	6.3664	9.60403	7.91743	3.49455	5.52469	3.84826
tetraselmis	18.04669084	31.74032471	33.02958173	33.15583015	22.3851878	3.61600636	0	15.89958696
ochromonas	3.25382324	7.09452443	8.34762813	8.70834047	1.80375582	1.29341629	0	0
skeletonema	21.18455	38.69073	42.74823	38.42732	29.29272	14.22143	1.68782	8.88868
skeletonema	27.4101	49.49492	51.34216	44.07119	36.85791	18.80792	2.7953	13.52463
cyclotella	6.30567	11.66334	10.35471	8.03942	5.45034	4.14245	1.432	4.72252
cyclotella	6.44233	10.52009	11.42348	9.83498	6.50058	3.80997	1.15552	3.42677
chaetoceros	33.13079	57.02051	54.45886	48.5231	39.37238	21.92879	5.65211	21.24119
ollicola	0.86607007	1.25478809	1.65962558	1.65623218	1.02727316	0.46411433	0.08065133	0.23567517
ochromonas	5.44388	8.41317	9.52634	8.8431	6.45607	3.44083	0.92817	2.54139
alexandrium	8.38114	11.06218	35.5104	16.26491	15.52483	15.26736	4.03356	4.17023
teleaulax	1.38918296	2.00873089	1.89294806	1.95338488	1.61251293	0.82005389	0	0.58208399
emiliania	20.5788285	30.84922507	36.21531126	39.76915941	32.83198314	14.37768759	0	6.68350566
conticribra	12.41837009	20.94719597	18.79337833	16.94036876	9.58445276	7.28217066	0	6.1524591
minutocellus	25.48670216	42.1175659	48.02225959	48.52930316	32.36416178	17.7731633	0	11.08881685
thalassiosira	23.51420621	37.43734899	41.41567895	35.90022189	23.32277986	14.7370506	0	11.0311718
eutreptia	12.23981	17.28882	19.23115	17.0987	13.56884	3.08004	3.50333	8.39451
hemiselmis	1.1527	1.80238	1.98184	1.78922	1.33885	1.11732	0.39883	0.60243
micromonas	7.78271	10.20681	16.90514	16.47297	12.02673	4.15379	1.34452	4.58693
chaetoceros	3.80747	6.33495	6.66601	6.47092	4.51234	2.21163	0.52036	1.74815
kryptoperidinium	1.96158	4.13477	5.48538	2.77478	1.45832	2.19652	0.48966	1.77921
prorocentrum	0.43399009	0.65220213	0.82920722	0.78211828	0.70661882	0.29525792	0	0.12405933
emiliania	60.54	93.56	99.65	107.67	95.9	39.6	9.84	21.23
conticribra	10.01324	18.35579	13.93482	14.15619	7.92997	7.10433	3.66392	6.51349
synechococcus	1.52621	2.19302	1.49876	1.40956	1.74281	4.48739	0.73551	1.20929
synechococcus	7.03231	9.59236	6.14309	5.92785	7.40685	20.0731	3.05654	5.14634
synechococcus	7.75669	11.76466	5.56875	6.01007	8.67767	24.12862	4.05871	6.33
rhodella	13.8929	17.62185	10.05447	9.96895	4.92912	21.84624	17.91492	33.43559
rhodella	4.75708	6.33182	3.89721	3.82059	1.81432	7.70442	6.02132	10.71173
phormidium	4.9647	6.04139	3.38421	3.40894	1.39481	8.90075	6.14419	4.14507
phormidium	1.34158	1.76037	0.80602	0.96397	0.32041	2.62861	1.27167	1.26329
spirulina	24.44638	37.40344	16.74823	13.88027	7.59974	31.22188	75.23378	57.00654
